,Condition,Reaction Time,Face Value,X Placement Column,X Placement Row,Side placement of X,Participant's Choice,Accuracy
0,Feedback,3.3531449,neutral,17,10,Left,Left,correct
1,Feedback,2.059465,sad,33,2,Right,Right,correct
2,Feedback,0.6893922,sad,20,4,Right,Right,correct
3,Feedback,1.2777572,sad,7,10,Left,Left,correct
4,Feedback,1.1133587,neutral,0,13,Left,Left,correct
5,Feedback,1.4862274,anger,22,11,Right,Right,correct
6,Feedback,1.189825,anger,31,12,Right,Right,correct
7,Feedback,3.1729935,anger,33,3,Right,Right,correct
8,Feedback,1.4001335,neutral,2,4,Left,Left,correct
9,Feedback,1.7651476,neutral,21,14,Right,Right,correct
10,Feedback,5.2770402,neutral,39,3,Right,Right,correct
11,Feedback,0.97843,neutral,27,10,Right,Right,correct
12,Feedback,3.8323384,neutral,2,11,Left,Left,correct
13,Experiment,0.7780573,neutral,30,13,Right,Right,correct
14,Experiment,1.4683287,neutral,8,11,Left,Left,correct
15,Experiment,1.3815412,neutral,27,13,Right,Right,correct
16,Experiment,4.346839,neutral,22,15,Right,Right,correct
17,Experiment,1.3418216,anger,27,13,Right,Right,correct
18,Experiment,2.8796822,sad,0,2,Left,Left,correct
19,Experiment,0.6735297,neutral,13,7,Left,Left,correct
20,Experiment,3.1505157,anger,0,15,Left,Left,correct
21,Experiment,1.4920353,sad,25,4,Right,Right,correct
22,Experiment,0.8641591,anger,2,4,Left,Left,correct
23,Experiment,0.7608097,anger,0,6,Left,Left,correct
24,Experiment,0.7875375,anger,6,11,Left,Left,correct
25,Experiment,4.707587,anger,14,0,Left,Left,correct
26,Experiment,1.6035604,neutral,18,10,Left,Left,correct
27,Experiment,1.2480968,neutral,4,5,Left,Left,correct
28,Experiment,0.6109587,sad,1,3,Left,Left,correct
29,Experiment,3.4676943,neutral,28,14,Right,Right,correct
30,Experiment,2.8386328,neutral,5,0,Left,Left,correct
31,Experiment,1.9539196,sad,35,10,Right,Right,correct
32,Experiment,0.96206,anger,31,8,Right,Right,correct
33,Experiment,4.9929711,sad,37,14,Right,Right,correct
34,Experiment,1.7296502,anger,32,3,Right,Right,correct
35,Experiment,0.9057457,anger,24,10,Right,Right,correct
36,Experiment,0.644846,sad,28,12,Right,Right,correct
37,Experiment,3.0439087,sad,13,1,Left,Left,correct
38,Experiment,3.1462413,sad,22,14,Right,Right,correct
39,Experiment,0.9018197,anger,29,5,Right,Right,correct
40,Experiment,2.3537554,neutral,2,12,Left,Left,correct
41,Experiment,1.4289992,anger,19,2,Left,Right,incorrect
42,Experiment,0.8268798,anger,29,7,Right,Right,correct
43,Experiment,1.048969,sad,21,10,Right,Right,correct
44,Experiment,0.7946844,sad,19,3,Left,Left,correct
45,Experiment,3.4447228,sad,36,0,Right,Right,correct
46,Experiment,3.1598792,sad,29,15,Right,Right,correct
47,Experiment,1.4786114,neutral,5,3,Left,Left,correct
48,Experiment,2.4509006,neutral,31,3,Right,Right,correct
49,Experiment,8.9238708,anger,1,4,Left,Left,correct
50,Experiment,1.9526308,neutral,36,12,Right,Right,correct
51,Experiment,1.4108995,anger,11,12,Left,Left,correct
52,Experiment,2.7904602,sad,39,10,Right,Right,correct
53,Experiment,1.1007831,neutral,38,0,Right,Right,correct
54,Experiment,1.8417452,anger,5,14,Left,Left,correct
55,Experiment,0.8131975,sad,6,7,Left,Left,correct
56,Experiment,3.0585079,sad,33,13,Right,Right,correct
57,Experiment,1.0706043,neutral,16,12,Left,Left,correct
58,Experiment,9.991018,anger,2,1,Left,Left,correct
59,Experiment,2.7475883,anger,21,12,Right,Right,correct
60,Experiment,0.5995619,sad,10,3,Left,Left,correct
61,Experiment,3.2516848,sad,36,0,Right,Right,correct
62,Experiment,3.075409,neutral,10,15,Left,Left,correct
63,Experiment,1.6643558,sad,26,9,Right,Right,correct
64,Experiment,0.691344,neutral,9,8,Left,Left,correct
65,Experiment,0.9257757,anger,25,10,Right,Right,correct
66,Experiment,1.2532569,sad,20,13,Right,Right,correct
67,Experiment,0.9898327,anger,25,12,Right,Right,correct
68,Experiment,1.8303163,anger,1,5,Left,Left,correct
69,Experiment,0.7678412,anger,8,12,Left,Left,correct
70,Experiment,2.5914055,sad,35,6,Right,Right,correct
71,Experiment,0.6248178,sad,25,13,Right,Right,correct
