,Condition,Reaction Time,Face Value,X Placement Column,X Placement Row,Side placement of X,Participant's Choice,Accuracy
0,Feedback,2.1104477,neutral,1,12,Left,Left,correct
1,Feedback,1.4024472,neutral,18,9,Left,Left,correct
2,Feedback,1.8864496,anger,3,8,Left,Left,correct
3,Feedback,10.200271,neutral,23,14,Right,Right,correct
4,Feedback,2.4412138,sad,5,3,Left,Left,correct
5,Feedback,2.4716502,neutral,26,10,Right,Right,correct
6,Feedback,1.4228735,anger,36,8,Right,Right,correct
7,Feedback,0.8490915,anger,32,9,Right,Right,correct
8,Feedback,0.8939028,anger,24,13,Right,Right,correct
9,Feedback,0.9130135,neutral,28,4,Right,Right,correct
10,Feedback,0.5526551,sad,26,4,Right,Right,correct
11,Feedback,1.9929107,anger,10,7,Left,Left,correct
12,Feedback,1.4710738,sad,31,1,Right,Right,correct
13,Experiment,0.7049652,sad,21,8,Right,Right,correct
14,Experiment,0.7724422,sad,16,4,Left,Left,correct
15,Experiment,0.6688225,anger,21,8,Right,Right,correct
16,Experiment,0.6053002,sad,28,8,Right,Right,correct
17,Experiment,0.583525,anger,25,9,Right,Right,correct
18,Experiment,2.7311136,neutral,13,14,Left,Left,correct
19,Experiment,2.3407393,neutral,12,0,Left,Left,correct
20,Experiment,2.4717918,neutral,17,11,Left,Left,correct
21,Experiment,0.6410261,sad,17,8,Left,Left,correct
22,Experiment,2.6764374,anger,12,15,Left,Left,correct
23,Experiment,6.3926389,neutral,26,14,Right,Right,correct
24,Experiment,2.3429208,sad,26,14,Right,Right,correct
25,Experiment,5.1084297,neutral,13,15,Left,Left,correct
26,Experiment,3.1236284,neutral,22,15,Right,Right,correct
27,Experiment,0.9630074,neutral,35,7,Right,Right,correct
28,Experiment,0.8235244,anger,29,3,Right,Right,correct
29,Experiment,0.8064674,sad,10,5,Left,Left,correct
30,Experiment,2.4172174,sad,0,14,Left,Left,correct
31,Experiment,0.823767,anger,17,2,Left,Left,correct
32,Experiment,0.4909714,neutral,20,7,Right,Right,correct
33,Experiment,4.8326232,anger,2,14,Left,Left,correct
34,Experiment,0.8025544,sad,25,6,Right,Right,correct
35,Experiment,1.045052,neutral,31,9,Right,Right,correct
36,Experiment,1.3142633,neutral,6,7,Left,Left,correct
37,Experiment,4.457607,sad,23,10,Right,Right,correct
38,Experiment,1.3343995,anger,32,2,Right,Right,correct
39,Experiment,2.4817187,anger,28,11,Right,Right,correct
40,Experiment,3.2179197,neutral,36,14,Right,Right,correct
41,Experiment,0.6172321,neutral,11,10,Left,Left,correct
42,Experiment,0.8761146,anger,11,2,Left,Left,correct
43,Experiment,2.694215,anger,5,12,Left,Left,correct
44,Experiment,1.8734945,sad,17,11,Left,Left,correct
45,Experiment,0.5818128,anger,20,6,Right,Right,correct
46,Experiment,2.8620763,anger,33,1,Right,Right,correct
47,Experiment,1.3570103,neutral,3,2,Left,Left,correct
48,Experiment,1.6444153,sad,38,7,Right,Right,correct
49,Experiment,2.3990775,anger,31,10,Right,Right,correct
50,Experiment,1.0584819,anger,38,3,Right,Right,correct
51,Experiment,4.1839373,neutral,9,10,Left,Left,correct
52,Experiment,0.7912973,anger,27,8,Right,Right,correct
53,Experiment,3.381316,anger,4,11,Left,Left,correct
54,Experiment,1.5000444,anger,36,1,Right,Right,correct
55,Experiment,1.1252506,neutral,12,5,Left,Left,correct
56,Experiment,0.6648252,sad,28,6,Right,Right,correct
57,Experiment,1.2845965,neutral,38,6,Right,Right,correct
58,Experiment,1.134853,sad,10,1,Left,Left,correct
59,Experiment,2.7154801,neutral,31,12,Right,Right,correct
60,Experiment,0.4708833,sad,29,8,Right,Right,correct
61,Experiment,2.6515893,sad,33,13,Right,Right,correct
62,Experiment,0.5594126,neutral,13,3,Left,Left,correct
63,Experiment,0.8618472,anger,26,13,Right,Right,correct
64,Experiment,0.7765037,sad,20,2,Right,Right,correct
65,Experiment,0.7193486,sad,19,3,Left,Left,correct
66,Experiment,2.048519,sad,2,9,Left,Left,correct
67,Experiment,1.059695,anger,32,10,Right,Right,correct
68,Experiment,2.0539372,sad,39,12,Right,Right,correct
69,Experiment,1.0217117,sad,33,10,Right,Right,correct
70,Experiment,2.746009,sad,28,1,Right,Right,correct
71,Experiment,0.9918076,neutral,31,2,Right,Right,correct
