,Condition,Reaction Time,Face Value,X Placement Column,X Placement Row,Side placement of X,Participant's Choice,Accuracy
0,Feedback,1.5915623,neutral,4,3,Left,Left,correct
1,Feedback,2.4597085,sad,6,9,Left,Left,correct
2,Feedback,1.2820299,neutral,27,7,Right,Right,correct
3,Feedback,0.9538031,anger,19,11,Left,Left,correct
4,Feedback,2.3254223,neutral,5,11,Left,Left,correct
5,Feedback,0.8700222,anger,21,11,Right,Right,correct
6,Feedback,0.7527642,anger,11,8,Left,Left,correct
7,Feedback,0.633091,neutral,17,9,Left,Left,correct
8,Feedback,0.546288,neutral,14,11,Left,Left,correct
9,Feedback,0.7243172,neutral,19,11,Left,Left,correct
10,Feedback,3.523454,anger,22,0,Right,Right,correct
11,Feedback,2.2930483,neutral,5,15,Left,Left,correct
12,Feedback,1.5413645,neutral,30,6,Right,Right,correct
13,Experiment,2.2563419,sad,39,15,Right,Right,correct
14,Experiment,0.872644,sad,13,13,Left,Left,correct
15,Experiment,2.6961647,sad,23,1,Right,Right,correct
16,Experiment,0.8636816,sad,27,5,Right,Right,correct
17,Experiment,0.6074261,anger,14,7,Left,Left,correct
18,Experiment,0.798179,sad,17,5,Left,Left,correct
19,Experiment,1.5713175,neutral,22,15,Right,Right,correct
20,Experiment,2.5414701,neutral,37,5,Right,Right,correct
21,Experiment,1.4786926,anger,35,5,Right,Right,correct
22,Experiment,1.0028339,anger,38,10,Right,Right,correct
23,Experiment,0.7162381,anger,23,7,Right,Right,correct
24,Experiment,0.6730157,neutral,26,8,Right,Right,correct
25,Experiment,1.5130562,sad,9,11,Left,Left,correct
26,Experiment,1.2443772,anger,30,1,Right,Right,correct
27,Experiment,0.9663346,sad,25,11,Right,Right,correct
28,Experiment,2.370716,neutral,17,3,Left,Left,correct
29,Experiment,0.8630622,neutral,23,5,Right,Right,correct
30,Experiment,1.2973389,anger,7,11,Left,Left,correct
31,Experiment,0.9748992,neutral,26,1,Right,Right,correct
32,Experiment,0.6522326,sad,7,10,Left,Left,correct
33,Experiment,1.6251078,sad,33,0,Right,Right,correct
34,Experiment,1.0208058,sad,8,15,Left,Left,correct
35,Experiment,1.043593,anger,8,2,Left,Left,correct
36,Experiment,1.7687944,anger,36,14,Right,Right,correct
37,Experiment,0.6987977,anger,10,13,Left,Left,correct
38,Experiment,1.0503479,anger,24,9,Right,Right,correct
39,Experiment,3.1910467,anger,37,11,Right,Right,correct
40,Experiment,0.8450429,neutral,23,11,Right,Right,correct
41,Experiment,1.1540659,sad,39,12,Right,Right,correct
42,Experiment,3.1818153,anger,29,0,Right,Right,correct
43,Experiment,0.8664594,anger,4,4,Left,Left,correct
44,Experiment,1.7283069,sad,22,15,Right,Right,correct
45,Experiment,0.5772561,neutral,14,15,Left,Left,correct
46,Experiment,0.8976294,sad,11,8,Left,Left,correct
47,Experiment,0.6006277,anger,11,6,Left,Left,correct
48,Experiment,0.9843651,sad,16,3,Left,Left,correct
49,Experiment,0.8093917,neutral,14,9,Left,Left,correct
50,Experiment,2.6418149,neutral,4,13,Left,Left,correct
51,Experiment,0.960813,neutral,32,10,Right,Right,correct
52,Experiment,6.376224,neutral,39,3,Right,Right,correct
53,Experiment,0.5559925,sad,12,12,Left,Left,correct
54,Experiment,3.0787681,neutral,21,0,Right,Right,correct
55,Experiment,0.6994358,neutral,19,9,Left,Left,correct
56,Experiment,0.657769,sad,23,2,Right,Right,correct
57,Experiment,1.3631202,anger,34,5,Right,Right,correct
58,Experiment,4.5685673,anger,38,1,Right,Right,correct
59,Experiment,0.6468597,sad,19,3,Left,Left,correct
60,Experiment,1.1421189,sad,28,15,Right,Right,correct
61,Experiment,0.944278,neutral,5,9,Left,Left,correct
62,Experiment,0.6824112,sad,4,3,Left,Left,correct
63,Experiment,1.1388311,sad,29,10,Right,Right,correct
64,Experiment,1.598007,anger,36,11,Right,Right,correct
65,Experiment,1.0959107,anger,34,3,Right,Right,correct
66,Experiment,1.0560238,sad,35,12,Right,Right,correct
67,Experiment,0.5331187,neutral,14,7,Left,Left,correct
68,Experiment,1.8052848,anger,6,11,Left,Left,correct
69,Experiment,1.7860877,sad,36,0,Right,Right,correct
70,Experiment,0.6209405,anger,9,7,Left,Left,correct
71,Experiment,1.3217464,sad,21,14,Right,Right,correct
