,Condition,Reaction Time,Face Value,X Placement Column,X Placement Row,Side placement of X,Participant's Choice,Accuracy
0,Feedback,1.879232,anger,29,2,Right,Right,correct
1,Feedback,2.6549315,neutral,33,15,Right,Right,correct
2,Feedback,2.6426342,anger,12,0,Left,Left,correct
3,Feedback,1.9586201,neutral,13,2,Left,Left,correct
4,Feedback,0.9120566,sad,20,1,Right,Right,correct
5,Feedback,4.38987,sad,4,14,Left,Left,correct
6,Feedback,2.466623,anger,4,9,Left,Left,correct
7,Feedback,1.248364,anger,27,2,Right,Right,correct
8,Feedback,4.2158157,neutral,33,14,Right,Right,correct
9,Feedback,1.2118103,anger,37,10,Right,Right,correct
10,Feedback,1.8404676,anger,18,10,Left,Left,correct
11,Feedback,1.1296683,neutral,28,1,Right,Right,correct
12,Feedback,0.7415407,anger,11,4,Left,Left,correct
13,Experiment,3.7269823,neutral,22,15,Right,Right,correct
14,Experiment,0.6449968,sad,31,8,Right,Right,correct
15,Experiment,0.5631022,sad,18,6,Left,Left,correct
16,Experiment,3.5349162,neutral,9,2,Left,Left,correct
17,Experiment,1.1635762,sad,35,3,Right,Right,correct
18,Experiment,3.0597313,neutral,18,8,Left,Left,correct
19,Experiment,1.9241112,neutral,38,5,Right,Right,correct
20,Experiment,0.8670845,neutral,23,2,Right,Right,correct
21,Experiment,2.0951856,sad,1,5,Left,Left,correct
22,Experiment,1.0277899,sad,30,4,Right,Right,correct
23,Experiment,2.2109128,sad,0,10,Left,Left,correct
24,Experiment,0.8230856,sad,8,6,Left,Left,correct
25,Experiment,0.6415903,sad,23,2,Right,Right,correct
26,Experiment,0.7039372,neutral,29,5,Right,Right,correct
27,Experiment,0.853054,neutral,10,9,Left,Left,correct
28,Experiment,0.6381819,anger,17,4,Left,Left,correct
29,Experiment,1.2549008,sad,33,3,Right,Right,correct
30,Experiment,2.4267847,anger,13,11,Left,Left,correct
31,Experiment,2.230019,anger,9,11,Left,Left,correct
32,Experiment,8.1870146,sad,23,15,Right,Right,correct
33,Experiment,2.3920861,anger,7,2,Left,Left,correct
34,Experiment,0.8465477,neutral,19,1,Left,Left,correct
35,Experiment,0.8308768,neutral,19,4,Left,Left,correct
36,Experiment,1.6995932,neutral,10,13,Left,Left,correct
37,Experiment,5.4039591,sad,34,4,Right,Right,correct
38,Experiment,2.9900804,neutral,0,13,Left,Left,correct
39,Experiment,0.6001409,neutral,22,6,Right,Right,correct
40,Experiment,0.9541906,sad,13,10,Left,Left,correct
41,Experiment,1.1613445,sad,24,0,Right,Right,correct
42,Experiment,2.2795298,sad,22,11,Right,Right,correct
43,Experiment,1.057527,anger,32,2,Right,Right,correct
44,Experiment,1.213323,anger,6,6,Left,Left,correct
45,Experiment,1.8547727,anger,34,14,Right,Right,correct
46,Experiment,0.6409936,neutral,11,2,Left,Left,correct
47,Experiment,1.6566775,anger,2,5,Left,Left,correct
48,Experiment,0.6066543,neutral,22,7,Right,Right,correct
49,Experiment,2.6450944,anger,6,7,Left,Left,correct
50,Experiment,1.6028213,neutral,19,7,Left,Left,correct
51,Experiment,7.1514923,anger,4,3,Left,Left,correct
52,Experiment,2.7980753,anger,20,15,Right,Right,correct
53,Experiment,2.1038909,anger,2,8,Left,Left,correct
54,Experiment,1.25246,sad,14,0,Left,Left,correct
55,Experiment,1.0872661,anger,39,12,Right,Right,correct
56,Experiment,5.808074,sad,36,0,Right,Right,correct
57,Experiment,1.2215358,neutral,5,11,Left,Left,correct
58,Experiment,2.9677096,anger,0,3,Left,Left,correct
59,Experiment,2.0021341,neutral,19,13,Left,Left,correct
60,Experiment,3.0483007,sad,2,10,Left,Left,correct
61,Experiment,1.2466942,anger,16,2,Left,Left,correct
62,Experiment,0.8731975,sad,20,3,Right,Right,correct
63,Experiment,1.9957557,anger,14,15,Left,Left,correct
64,Experiment,1.7677095,neutral,17,9,Left,Left,correct
65,Experiment,1.1318675,anger,29,8,Right,Right,correct
66,Experiment,1.4921864,neutral,23,14,Right,Right,correct
67,Experiment,0.6921145,sad,27,7,Right,Right,correct
68,Experiment,0.5713233,sad,33,7,Right,Right,correct
69,Experiment,2.6872693,sad,36,2,Right,Right,correct
70,Experiment,1.7341196,neutral,13,14,Left,Left,correct
71,Experiment,1.368919,sad,38,0,Right,Right,correct
