,Condition,Reaction Time,Face Value,X Placement Column,X Placement Row,Side placement of X,Participant's Choice,Accuracy
0,Feedback,7.0985129,neutral,21,2,Right,Right,correct
1,Feedback,1.0845559,anger,17,8,Left,Left,correct
2,Feedback,0.6304072,neutral,19,7,Left,Left,correct
3,Feedback,5.7657832,sad,8,0,Left,Left,correct
4,Feedback,2.7839099,sad,18,12,Left,Right,incorrect
5,Feedback,2.6537943,anger,37,6,Right,Right,correct
6,Feedback,0.8185295,neutral,29,6,Right,Right,correct
7,Feedback,2.3224768,sad,0,2,Left,Left,correct
8,Feedback,2.1536403,neutral,4,13,Left,Left,correct
9,Feedback,2.0393582,sad,25,1,Right,Right,correct
10,Feedback,1.095499,sad,38,5,Right,Right,correct
11,Feedback,1.0944378,sad,30,9,Right,Right,correct
12,Feedback,1.123608,neutral,2,5,Left,Left,correct
13,Experiment,0.572286,anger,26,10,Right,Right,correct
14,Experiment,3.127843,neutral,27,1,Right,Right,correct
15,Experiment,0.5991574,anger,27,4,Right,Right,correct
16,Experiment,1.2421959,anger,27,12,Right,Right,correct
17,Experiment,0.9950348,sad,5,5,Left,Left,correct
18,Experiment,2.525758,sad,21,11,Right,Right,correct
19,Experiment,1.9329352,sad,7,6,Left,Left,correct
20,Experiment,0.6927269,anger,24,9,Right,Right,correct
21,Experiment,0.8690712,sad,25,10,Right,Right,correct
22,Experiment,1.6505268,sad,4,13,Left,Left,correct
23,Experiment,4.3847177,sad,1,11,Left,Left,correct
24,Experiment,1.8177299,anger,23,15,Right,Right,correct
25,Experiment,0.720307,anger,30,13,Right,Right,correct
26,Experiment,1.2730292,sad,18,14,Left,Left,correct
27,Experiment,0.6214676,sad,24,9,Right,Right,correct
28,Experiment,0.7861644,neutral,14,8,Left,Left,correct
29,Experiment,0.5404606,anger,31,8,Right,Right,correct
30,Experiment,0.9279237,anger,33,11,Right,Right,correct
31,Experiment,2.3889478,sad,11,3,Left,Left,correct
32,Experiment,1.6965426,anger,39,10,Right,Right,correct
33,Experiment,1.0731457,sad,9,10,Left,Left,correct
34,Experiment,0.6557264,neutral,25,12,Right,Right,correct
35,Experiment,2.3602476,sad,29,3,Right,Right,correct
36,Experiment,0.8614157,neutral,11,7,Left,Left,correct
37,Experiment,0.7481357,anger,37,7,Right,Right,correct
38,Experiment,4.5595769,neutral,38,14,Right,Right,correct
39,Experiment,1.2852869,neutral,26,3,Right,Right,correct
40,Experiment,0.9155815,neutral,12,11,Left,Left,correct
41,Experiment,0.7163943,sad,15,4,Left,Right,incorrect
42,Experiment,2.5656815,anger,38,0,Right,Right,correct
43,Experiment,0.5716093,anger,28,7,Right,Right,correct
44,Experiment,0.7277767,neutral,22,11,Right,Right,correct
45,Experiment,0.8149104,neutral,38,10,Right,Right,correct
46,Experiment,2.3715055,neutral,10,2,Left,Left,correct
47,Experiment,10.2195995,sad,2,4,Left,Left,correct
48,Experiment,2.5256872,neutral,26,0,Right,Right,correct
49,Experiment,1.9525024,neutral,2,12,Left,Left,correct
50,Experiment,2.5385105,anger,29,2,Right,Right,correct
51,Experiment,1.7383194,sad,8,11,Left,Left,correct
52,Experiment,0.5907782,sad,35,9,Right,Right,correct
53,Experiment,0.7255702,anger,12,5,Left,Left,correct
54,Experiment,1.0540756,neutral,20,8,Right,Right,correct
55,Experiment,0.7452841,sad,15,7,Left,Left,correct
56,Experiment,3.355873,anger,3,14,Left,Left,correct
57,Experiment,2.2592941,neutral,4,3,Left,Left,correct
58,Experiment,0.6890694,anger,22,12,Right,Right,correct
59,Experiment,3.9165126,neutral,22,1,Right,Right,correct
60,Experiment,1.8967193,anger,17,14,Left,Left,correct
61,Experiment,1.295579,neutral,23,11,Right,Right,correct
62,Experiment,2.6793039,anger,24,1,Right,Right,correct
63,Experiment,0.7077768,neutral,20,12,Right,Right,correct
64,Experiment,4.2377019,neutral,38,7,Right,Right,correct
65,Experiment,0.5467513,anger,31,12,Right,Right,correct
66,Experiment,0.7811585,neutral,39,14,Right,Right,correct
67,Experiment,12.1353483,sad,19,6,Left,Right,incorrect
68,Experiment,1.4871999,sad,21,0,Right,Right,correct
69,Experiment,0.7635058,anger,25,4,Right,Right,correct
70,Experiment,0.5545218,anger,14,6,Left,Left,correct
71,Experiment,2.2932784,anger,9,11,Left,Right,incorrect
