,Condition,Reaction Time,Face Value,X Placement Column,X Placement Row,Side placement of X,Participant's Choice,Accuracy
0,Feedback,2.5426267,sad,2,10,Left,Left,correct
1,Feedback,2.9194851,sad,25,7,Right,Right,correct
2,Feedback,1.9341863,neutral,24,1,Right,Right,correct
3,Feedback,0.6640471,sad,13,2,Left,Left,correct
4,Feedback,1.79512,anger,0,5,Left,Left,correct
5,Feedback,2.0634876,sad,24,10,Right,Right,correct
6,Feedback,3.0816017,neutral,29,12,Right,Left,incorrect
7,Feedback,0.0100536,neutral,11,11,Left,Right,incorrect
8,Feedback,0.8394607,anger,25,4,Right,Right,correct
9,Feedback,3.3546001,sad,9,15,Left,Left,correct
10,Feedback,1.6547795,neutral,26,11,Right,Right,correct
11,Feedback,0.6781278,neutral,19,6,Left,Left,correct
12,Feedback,2.0313271,anger,31,9,Right,Right,correct
13,Experiment,5.7962541,neutral,26,11,Right,Right,correct
14,Experiment,4.2223798,sad,10,13,Left,Left,correct
15,Experiment,2.2984894,sad,27,4,Right,Right,correct
16,Experiment,2.7403131,anger,23,14,Right,Right,correct
17,Experiment,1.6975921,anger,20,9,Right,Right,correct
18,Experiment,1.1827173,neutral,31,7,Right,Right,correct
19,Experiment,6.0990161,sad,2,13,Left,Left,correct
20,Experiment,3.4725439,anger,29,0,Right,Right,correct
21,Experiment,0.6606889,sad,27,0,Right,Right,correct
22,Experiment,0.6441885,neutral,24,0,Right,Right,correct
23,Experiment,2.5724669,sad,13,4,Left,Left,correct
24,Experiment,4.3928514,anger,13,14,Left,Left,correct
25,Experiment,1.8351103,neutral,33,2,Right,Right,correct
26,Experiment,13.8745903,sad,32,15,Right,Right,correct
27,Experiment,1.0176462,neutral,32,15,Right,Right,correct
28,Experiment,1.9403843,neutral,7,11,Left,Left,correct
29,Experiment,3.9011126,neutral,8,2,Left,Left,correct
30,Experiment,2.0099294,neutral,17,15,Left,Left,correct
31,Experiment,0.7345009,anger,8,3,Left,Left,correct
32,Experiment,2.2245181,anger,24,14,Right,Right,correct
33,Experiment,0.7042709,sad,24,2,Right,Right,correct
34,Experiment,4.4183166,neutral,18,8,Left,Left,correct
35,Experiment,6.7983723,anger,39,5,Right,Right,correct
36,Experiment,4.1498734,anger,20,12,Right,Right,correct
37,Experiment,1.1262724,neutral,15,8,Left,Left,correct
38,Experiment,4.0175442,sad,25,15,Right,Right,correct
39,Experiment,1.4534577,sad,24,7,Right,Right,correct
40,Experiment,4.4633309,sad,31,14,Right,Right,correct
41,Experiment,4.3844593,neutral,24,14,Right,Right,correct
42,Experiment,1.3053115,anger,27,8,Right,Right,correct
43,Experiment,0.7522331,neutral,22,3,Right,Right,correct
44,Experiment,2.3658606,sad,23,12,Right,Right,correct
45,Experiment,2.829909,anger,9,3,Left,Left,correct
46,Experiment,0.698908,anger,5,1,Left,Left,correct
47,Experiment,7.8307886,anger,6,15,Left,Left,correct
48,Experiment,2.2596592,sad,38,4,Right,Right,correct
49,Experiment,1.3258936,neutral,24,12,Right,Right,correct
50,Experiment,0.7088084,anger,31,11,Right,Right,correct
51,Experiment,0.6777563,neutral,23,9,Right,Right,correct
52,Experiment,0.620647,neutral,20,9,Right,Right,correct
53,Experiment,1.0971052,neutral,34,12,Right,Right,correct
54,Experiment,2.8943816,neutral,6,9,Left,Left,correct
55,Experiment,1.6964732,anger,32,6,Right,Right,correct
56,Experiment,0.6021031,sad,37,5,Right,Right,correct
57,Experiment,6.0968368,sad,37,9,Right,Right,correct
58,Experiment,0.8024043,anger,34,11,Right,Right,correct
59,Experiment,3.6748525,anger,0,13,Left,Left,correct
60,Experiment,2.8937861,neutral,37,1,Right,Right,correct
61,Experiment,1.1583343,sad,32,10,Right,Right,correct
62,Experiment,1.7126924,anger,15,11,Left,Left,correct
63,Experiment,0.5798722,sad,30,5,Right,Right,correct
64,Experiment,3.0043331,anger,38,15,Right,Right,correct
65,Experiment,1.3243046,anger,31,10,Right,Right,correct
66,Experiment,1.412233,sad,23,1,Right,Right,correct
67,Experiment,1.6657457,anger,32,15,Right,Right,correct
68,Experiment,4.0886163,sad,4,13,Left,Left,correct
69,Experiment,1.1570656,anger,15,13,Left,Left,correct
70,Experiment,0.8085396,sad,9,15,Left,Left,correct
71,Experiment,1.5414126,neutral,23,14,Right,Right,correct
