pt_num,Age,Gender,Handedness,trial_nbr,block_number,soa,acc,category,choiced_category,manipulation,difficulty,mask,type_occl,size_occl,filename,mask_filename,task,pressed_key,correct_key,Experiment Duration
2,22,Male,Right,1,Training,0.025,true,firehydrant,firehydrant,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_firehydrant90.png,mask_img/000000001810.png,training,o,o,55.66633599999477
2,22,Male,Right,2,Training,0.05,true,building,building,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_building24.png,mask_img/000000004739.png,training,e,e,58.698676500003785
2,22,Male,Right,3,Training,0.05,true,cat,cat,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_cat432.png,mask_img/000000003084.png,training,p,p,62.82361360000505
2,22,Male,Right,4,Training,0.125,false,banana,firehydrant,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_banana454.png,mask_img/000000005359.png,training,o,q,67.91918589999841
2,22,Male,Right,5,Training,0.025,false,firehydrant,bus,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_firehydrant90.png,mask_img/000000006870.png,training,r,o,71.44040760000644
2,22,Male,Right,6,Training,0.125,true,cat,cat,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_cat432.png,mask_img/000000006842.png,training,p,p,74.2839862999972
2,22,Male,Right,7,Training,0.025,true,firehydrant,firehydrant,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_firehydrant90.png,mask_img/000000006146.png,training,o,o,78.59661019999476
2,22,Male,Right,8,Training,0.125,true,cat,cat,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_cat432.png,mask_img/000000000438.png,training,p,p,82.1902659000043
2,22,Male,Right,9,Training,0.125,false,person,cat,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_person189.png,mask_img/000000007179.png,training,p,u,85.53405089999433
2,22,Male,Right,10,Training,0.05,true,firehydrant,firehydrant,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_firehydrant90.png,mask_img/000000005131.png,training,o,o,88.5875922999985
2,22,Male,Right,11,Training,0.025,true,cat,cat,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_cat432.png,mask_img/000000000438.png,training,p,p,91.09712700000091
2,22,Male,Right,12,Training,0.025,false,bird,banana,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_bird4.png,mask_img/000000000731.png,training,q,w,98.15947620000225
2,22,Male,Right,13,Training,0.025,false,tree,firehydrant,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_tree9.png,mask_img/000000007325.png,training,o,i,103.46632180000597
2,22,Male,Right,14,Training,0.05,true,bird,bird,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_bird4.png,mask_img/000000002774.png,training,w,w,106.79574080000748
2,22,Male,Right,15,Training,0.05,true,cat,cat,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_cat432.png,mask_img/000000001647.png,training,p,p,109.37386659999902
2,22,Male,Right,16,Training,0.025,true,bus,bus,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_bus180.png,mask_img/000000000394.png,training,r,r,112.21755070000654
2,22,Male,Right,17,Training,0.125,true,banana,banana,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_banana454.png,mask_img/000000002337.png,training,q,q,115.03196659999958
2,22,Male,Right,18,Training,0.05,true,bird,bird,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_bird4.png,mask_img/000000000109.png,training,w,w,117.62746210000478
2,22,Male,Right,19,Training,0.025,true,building,building,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_building24.png,mask_img/000000002822.png,training,e,e,120.38022140000248
2,22,Male,Right,20,Training,0.025,true,cat,cat,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_cat432.png,mask_img/000000006842.png,training,p,p,122.81518910000159
2,22,Male,Right,21,Training,0.025,true,tree,tree,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_tree9.png,mask_img/000000005282.png,training,i,i,126.95579649999854
