Version,pt_num,Age,Gender,Handedness,trial_nbr,block_number,rt,soa,acc,category,choiced_category,manipulation,difficulty,mask,type_occl,size_occl,filename,mask_filename,task,pressed_key,correct_key,Experiment Duration
V3,16,27,Female,Right,1,Training,2.9324254999955883,0.05,false,tree,banana,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_tree9.png,mask_img/000000005282.png,training,w,e,81.49053840000124
V3,16,27,Female,Right,2,Training,2.616152199996577,0.1,true,cat,cat,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_cat432.png,mask_img/000000006842.png,training,i,i,85.25614840000344
V3,16,27,Female,Right,3,Training,2.46317939999426,0.025,true,bird,bird,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_bird4.png,mask_img/000000000109.png,training,p,p,89.02153679999901
V3,16,27,Female,Right,4,Training,2.095872199999576,0.05,false,banana,bird,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_banana454.png,mask_img/000000005359.png,training,p,w,92.25567460000457
V3,16,27,Female,Right,5,Training,1.4760755999959656,0.1,true,building,building,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_building24.png,mask_img/000000004739.png,training,o,o,94.9275861999995
V3,16,27,Female,Right,6,Training,3.212143999997352,0.025,true,tree,tree,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_tree9.png,mask_img/000000007325.png,training,e,e,99.63082250000298
V3,16,27,Female,Right,7,Training,1.9553985000020475,0.05,true,tree,tree,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_tree9.png,mask_img/000000002197.png,training,e,e,103.1946312
V3,16,27,Female,Right,8,Training,1.4332267999998294,0.025,true,tree,tree,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_tree9.png,mask_img/000000003694.png,training,e,e,106.210339199999
V3,16,27,Female,Right,9,Training,1.66101869999693,0.1,true,tree,tree,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_tree9.png,mask_img/000000000626.png,training,e,e,109.42640070000198
V3,16,27,Female,Right,10,Training,1.6989812000028905,0.025,true,bird,bird,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_bird4.png,mask_img/000000002774.png,training,p,p,112.4136634000024
V3,16,27,Female,Right,11,Training,1.7303448999955435,0.025,true,tree,tree,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_tree9.png,mask_img/000000002197.png,training,e,e,115.50703649999923
V3,16,27,Female,Right,12,Training,1.6331301999962307,0.1,true,bus,bus,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_bus180.png,mask_img/000000001053.png,training,r,r,118.47608350000519
V3,16,27,Female,Right,1,Block 1,1.306062000003294,0.025,true,person,person,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_person8.png,mask_img/000000009729.png,experiment,q,q,130.19609029999992
V3,16,27,Female,Right,2,Block 1,1.940989199996693,0.1,false,banana,bird,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_banana9.png,mask_img/000000055652.png,experiment,p,w,133.1563821000018
V3,16,27,Female,Right,3,Block 1,1.7112151999972411,0.1,true,cat,cat,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_cat9.png,mask_img/000000007558.png,experiment,i,i,135.94014769999922
V3,16,27,Female,Right,4,Block 1,1.416114200001175,0.1,true,tree,tree,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_tree7.png,mask_img/000000011504.png,experiment,e,e,138.0756532000014
V3,16,27,Female,Right,5,Block 1,1.468800900001952,0.025,true,building,building,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_building7.png,mask_img/000000058021.png,experiment,o,o,140.3399661000003
V3,16,27,Female,Right,6,Block 1,2.5643324999982724,0.025,false,bird,building,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_bird6.png,mask_img/000000044523.png,experiment,o,p,143.66826199999923
V3,16,27,Female,Right,7,Block 1,1.4636329999993904,0.05,true,bird,bird,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bird9.png,mask_img/000000002892.png,experiment,p,p,145.82775419999962
V3,16,27,Female,Right,8,Block 1,3.0215086999960477,0.025,true,cat,cat,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_cat10.png,mask_img/000000006481.png,experiment,i,i,149.9084323000061
V3,16,27,Female,Right,9,Block 1,2.2985477000038372,0.05,false,firehydrant,bird,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_firehydrant8.png,mask_img/000000061512.png,experiment,p,u,153.0924335000018
V3,16,27,Female,Right,10,Block 1,1.7904979000013554,0.025,true,building,building,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_building10.png,mask_img/000000035857.png,experiment,o,o,155.6837388000058
V3,16,27,Female,Right,11,Block 1,1.8531787999963854,0.05,true,bird,bird,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_bird10.png,mask_img/000000034304.png,experiment,p,p,158.49158530000568
V3,16,27,Female,Right,12,Block 1,1.2684597999977996,0.1,true,bird,bird,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_bird7.png,mask_img/000000044580.png,experiment,p,p,160.8282518000051
V3,16,27,Female,Right,13,Block 1,1.4752663999970537,0.1,false,person,bird,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_person3.png,mask_img/000000051880.png,experiment,p,q,163.01206620000448
V3,16,27,Female,Right,14,Block 1,1.6782386000049883,0.025,true,building,building,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_building6.png,mask_img/000000036006.png,experiment,o,o,165.4284495000029
