Version,pt_num,Age,Gender,Handedness,trial_nbr,block_number,rt,soa,acc,category,choiced_category,manipulation,difficulty,mask,type_occl,size_occl,filename,mask_filename,task,pressed_key,correct_key,Experiment Duration
V3,12,18,Male,Left,1,Training,5.376337000052445,0.1,false,cat,firehydrant,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_cat432.png,mask_img/000000005862.png,training,o,u,101.27857029996812
V3,12,18,Male,Left,2,Training,2.760901700006798,0.025,false,tree,bus,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_tree9.png,mask_img/000000006263.png,training,p,q,105.22945309994975
V3,12,18,Male,Left,3,Training,1.8470289000542834,0.1,false,cat,building,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_cat432.png,mask_img/000000005105.png,training,i,u,108.21408509998582
V3,12,18,Male,Left,4,Training,1.1963523000013083,0.05,true,cat,cat,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_cat432.png,mask_img/000000005105.png,training,u,u,110.71404649998294
V3,12,18,Male,Left,5,Training,2.685778000042774,0.1,false,cat,banana,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_cat432.png,mask_img/000000003084.png,training,e,u,114.87016999995103
V3,12,18,Male,Left,6,Training,1.5088949999772012,0.1,true,banana,banana,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_banana454.png,mask_img/000000004239.png,training,e,e,117.85426239995286
V3,12,18,Male,Left,7,Training,1.6779911000048742,0.025,true,bus,bus,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_bus180.png,mask_img/000000000394.png,training,p,p,120.69645309995394
V3,12,18,Male,Left,8,Training,2.6873565000132658,0.05,true,building,building,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_building24.png,mask_img/000000006489.png,training,i,i,124.7624705999624
V3,12,18,Male,Left,9,Training,1.717601399985142,0.025,true,banana,banana,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_banana454.png,mask_img/000000006437.png,training,e,e,128.04329249996226
V3,12,18,Male,Left,10,Training,1.726850499981083,0.05,true,firehydrant,firehydrant,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_firehydrant90.png,mask_img/000000006870.png,training,o,o,131.18408320000162
V3,12,18,Male,Left,11,Training,1.594933599990327,0.1,true,building,building,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_building24.png,mask_img/000000002822.png,training,i,i,134.153100800002
V3,12,18,Male,Left,12,Training,1.740756799990777,0.025,false,cat,tree,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_cat432.png,mask_img/000000003084.png,training,q,u,137.27872179995757
V3,12,18,Male,Left,13,Training,1.1546771000139415,0.025,false,bird,tree,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_bird4.png,mask_img/000000005418.png,training,q,r,139.88881139998557
V3,12,18,Male,Left,14,Training,1.8762711000163108,0.1,false,cat,building,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_cat432.png,mask_img/000000000438.png,training,i,u,143.21669319999637
V3,12,18,Male,Left,15,Training,1.2439403000171296,0.05,false,bird,cat,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_bird4.png,mask_img/000000006481.png,training,u,r,145.84183599997777
V3,12,18,Male,Left,16,Training,1.580454200040549,0.1,true,firehydrant,firehydrant,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_firehydrant90.png,mask_img/000000005131.png,training,o,o,149.02924609999172
V3,12,18,Male,Left,17,Training,2.0249909999547526,0.025,false,bus,building,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_bus180.png,mask_img/000000006709.png,training,i,p,152.5864779999829
V3,12,18,Male,Left,18,Training,1.1552595000248402,0.025,true,tree,tree,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_tree9.png,mask_img/000000005282.png,training,q,q,154.9927628999576
