Version,pt_num,Age,Gender,Handedness,trial_nbr,block_number,rt,soa,acc,category,choiced_category,manipulation,difficulty,mask,type_occl,size_occl,filename,mask_filename,task,pressed_key,correct_key,Experiment Duration
V3,11,21,Male,Right,1,Training,1.9554669999633916,0.1,true,person,person,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_person189.png,mask_img/000000006153.png,training,o,o,120.59859119995963
V3,11,21,Male,Right,2,Training,1.7795527999987826,0.025,false,banana,firehydrant,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_banana454.png,mask_img/000000005359.png,training,i,q,123.86277869995683
V3,11,21,Male,Right,3,Training,1.7958907999563962,0.05,true,cat,cat,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_cat432.png,mask_img/000000001647.png,training,w,w,126.8549160999828
V3,11,21,Male,Right,4,Training,1.7819642999675125,0.05,true,bus,bus,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_bus180.png,mask_img/000000000394.png,training,u,u,129.94082089996664
V3,11,21,Male,Right,5,Training,1.0592051000567153,0.05,true,firehydrant,firehydrant,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_firehydrant90.png,mask_img/000000000459.png,training,i,i,132.44248919998063
V3,11,21,Male,Right,6,Training,0.9177903000381775,0.1,true,firehydrant,firehydrant,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_firehydrant90.png,mask_img/000000003225.png,training,i,i,134.71685939998133
V3,11,21,Male,Right,7,Training,1.202959300018847,0.025,true,person,person,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_person189.png,mask_img/000000000595.png,training,o,o,137.28965409996454
V3,11,21,Male,Right,8,Training,1.6652436999720521,0.1,true,building,building,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_building24.png,mask_img/000000000312.png,training,r,r,140.41140389995417
V3,11,21,Male,Right,9,Training,1.873865100031253,0.1,true,tree,tree,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_tree9.png,mask_img/000000003694.png,training,e,e,143.50918019999517
V3,11,21,Male,Right,10,Training,1.5605060000088997,0.025,true,cat,cat,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_cat432.png,mask_img/000000005105.png,training,w,w,146.15471579995938
V3,11,21,Male,Right,1,Block 1,1.2247427999973297,0.025,false,banana,firehydrant,occlusion,low,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\low\fewlarge_partialViewing_low_banana7.png,mask_img/000000023511.png,experiment,i,q,207.088613800006
V3,11,21,Male,Right,2,Block 1,2.0900783999823034,0.1,true,building,building,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_building2.png,mask_img/000000045306.png,experiment,r,r,210.177418999956
V3,11,21,Male,Right,3,Block 1,1.788349799986463,0.1,false,bird,tree,occlusion,low,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\low\fewlarge_partialViewing_low_bird1.png,mask_img/000000023984.png,experiment,e,p,212.92069050000282
V3,11,21,Male,Right,4,Block 1,1.3955841999850236,0.1,true,banana,banana,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_banana10.png,mask_img/000000000109.png,experiment,q,q,215.4084612999577
