Version,pt_num,Age,Gender,Handedness,trial_nbr,block_number,rt,soa,acc,category,choiced_category,manipulation,difficulty,mask,type_occl,size_occl,filename,mask_filename,task,pressed_key,correct_key,Experiment Duration
V3,13,23,Female,Right,1,Training,3.245481900004961,0.1,true,tree,tree,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_tree9.png,mask_img/000000002197.png,training,e,e,134.37862019999739
V3,13,23,Female,Right,2,Training,2.3929190000053495,0.05,false,banana,building,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_banana454.png,mask_img/000000000690.png,training,u,p,138.15969849999965
V3,13,23,Female,Right,3,Training,3.4070493999970495,0.05,false,cat,bird,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_cat432.png,mask_img/000000003084.png,training,i,o,142.7930783999982
V3,13,23,Female,Right,4,Training,1.3406641999972635,0.1,true,cat,cat,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_cat432.png,mask_img/000000005862.png,training,o,o,145.57419829999708
V3,13,23,Female,Right,5,Training,3.2906816999966395,0.1,false,bird,cat,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_bird4.png,mask_img/000000005418.png,training,o,i,150.16218429999572
V3,13,23,Female,Right,6,Training,1.3834586999946623,0.05,true,banana,banana,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_banana454.png,mask_img/000000002337.png,training,p,p,152.9747223000013
V3,13,23,Female,Right,7,Training,1.9455769000051077,0.025,false,bus,building,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_bus180.png,mask_img/000000006709.png,training,u,q,156.2887477999975
V3,13,23,Female,Right,8,Training,1.437797300000966,0.025,true,bird,bird,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_bird4.png,mask_img/000000000109.png,training,i,i,158.88275249999424
V3,13,23,Female,Right,9,Training,1.375589300005231,0.1,true,cat,cat,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_cat432.png,mask_img/000000003084.png,training,o,o,161.64879539999674
V3,13,23,Female,Right,10,Training,1.0233978000032948,0.05,true,cat,cat,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_cat432.png,mask_img/000000000438.png,training,o,o,163.97688869999547
V3,13,23,Female,Right,11,Training,3.3748133999979473,0.05,false,banana,firehydrant,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_banana454.png,mask_img/000000005359.png,training,r,p,168.71119149999868
V3,13,23,Female,Right,12,Training,1.0615658000024268,0.025,true,cat,cat,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_cat432.png,mask_img/000000001647.png,training,o,o,170.96270129999903
V3,13,23,Female,Right,13,Training,2.9673678999970434,0.1,false,person,bird,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_person189.png,mask_img/000000006153.png,training,i,w,175.4314532999997
V3,13,23,Female,Right,14,Training,1.4266996000005747,0.05,true,building,building,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_building24.png,mask_img/000000006489.png,training,u,u,178.1501516999997
V3,13,23,Female,Right,15,Training,1.2159315000026254,0.05,true,bus,bus,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_bus180.png,mask_img/000000000394.png,training,q,q,180.85493299999507
V3,13,23,Female,Right,16,Training,1.305682700003672,0.05,true,banana,banana,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_banana454.png,mask_img/000000006437.png,training,p,p,183.51116829999955
V3,13,23,Female,Right,17,Training,4.352930599998217,0.1,true,tree,tree,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_tree9.png,mask_img/000000003694.png,training,e,e,189.21788879999804
V3,13,23,Female,Right,18,Training,1.141532699999516,0.1,true,banana,banana,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_banana454.png,mask_img/000000000042.png,training,p,p,191.76112579999608
V3,13,23,Female,Right,19,Training,1.730464899999788,0.05,true,person,person,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_person189.png,mask_img/000000001997.png,training,w,w,194.85489229999803
V3,13,23,Female,Right,20,Training,2.1789283999969484,0.05,true,building,building,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_building24.png,mask_img/000000004739.png,training,u,u,198.37193319999642
V3,13,23,Female,Right,21,Training,10.241121899998689,0.05,false,tree,bird,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_tree9.png,mask_img/000000002197.png,training,i,e,209.90234329999657
V3,13,23,Female,Right,22,Training,2.3755270000037854,0.05,true,tree,tree,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_tree9.png,mask_img/000000007325.png,training,e,e,213.41796249999607
V3,13,23,Female,Right,23,Training,1.1350463999988278,0.025,true,tree,tree,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_tree9.png,mask_img/000000000626.png,training,e,e,215.82421869999962
V3,13,23,Female,Right,24,Training,1.41615539999475,0.025,true,bus,bus,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_bus180.png,mask_img/000000001053.png,training,q,q,218.60550309999962
V3,13,23,Female,Right,25,Training,1.4794227999955183,0.1,true,tree,tree,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_tree9.png,mask_img/000000005282.png,training,e,e,221.44913399999496
V3,13,23,Female,Right,26,Training,3.7024248000016087,0.025,false,bird,building,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_bird4.png,mask_img/000000005418.png,training,u,i,226.38703710000118
V3,13,23,Female,Right,27,Training,1.8035653999977512,0.05,true,person,person,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_person189.png,mask_img/000000000595.png,training,w,w,229.66833570000017
V3,13,23,Female,Right,28,Training,1.9218471999993199,0.1,true,firehydrant,firehydrant,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_firehydrant90.png,mask_img/000000006146.png,training,r,r,232.73200499999803
V3,13,23,Female,Right,29,Training,1.226004299998749,0.025,true,tree,tree,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_tree9.png,mask_img/000000005282.png,training,e,e,235.2816479999965
V3,13,23,Female,Right,30,Training,1.1537234999996144,0.1,true,tree,tree,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_tree9.png,mask_img/000000006263.png,training,e,e,237.84157340000093
V3,13,23,Female,Right,31,Training,2.318406899998081,0.1,true,firehydrant,firehydrant,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_firehydrant90.png,mask_img/000000006870.png,training,r,r,241.54370650000055
V3,13,23,Female,Right,32,Training,1.2818271000069217,0.025,false,person,firehydrant,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_person189.png,mask_img/000000003483.png,training,r,w,244.12196699999913
V3,13,23,Female,Right,33,Training,1.3284682000012253,0.025,true,person,person,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_person189.png,mask_img/000000000595.png,training,w,w,246.88896340000065
V3,13,23,Female,Right,34,Training,1.120496000003186,0.05,true,tree,tree,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_tree9.png,mask_img/000000003694.png,training,e,e,249.51409710000007
V3,13,23,Female,Right,35,Training,3.2230028999983915,0.025,false,bus,building,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_bus180.png,mask_img/000000005615.png,training,u,q,254.21721799999796
V3,13,23,Female,Right,36,Training,2.3355133999939426,0.05,true,person,person,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_person189.png,mask_img/000000006153.png,training,w,w,257.76410380000016
V3,13,23,Female,Right,37,Training,1.9336564999975963,0.025,true,bird,bird,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_bird4.png,mask_img/000000004642.png,training,i,i,260.8420571999959
V3,13,23,Female,Right,38,Training,1.1418387000012444,0.1,true,banana,banana,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_banana454.png,mask_img/000000006437.png,training,p,p,263.48246529999597
V3,13,23,Female,Right,39,Training,1.7073094999941532,0.05,true,firehydrant,firehydrant,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_firehydrant90.png,mask_img/000000000459.png,training,r,r,266.6245995999998
V3,13,23,Female,Right,40,Training,1.2725791999982903,0.05,true,building,building,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_building24.png,mask_img/000000002822.png,training,u,u,269.17145419999724
V3,13,23,Female,Right,41,Training,2.161562299996149,0.025,true,bus,bus,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_bus180.png,mask_img/000000000394.png,training,q,q,272.62266850000015
V3,13,23,Female,Right,42,Training,1.213593000000401,0.05,true,bus,bus,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_bus180.png,mask_img/000000002892.png,training,q,q,274.966270799996
V3,13,23,Female,Right,43,Training,1.3082913999969605,0.1,true,person,person,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_person189.png,mask_img/000000005142.png,training,w,w,277.54867259999446
V3,13,23,Female,Right,1,Block 1,3.298621000001731,0.025,true,building,building,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_building10.png,mask_img/000000035857.png,experiment,u,u,322.3182047999944
V3,13,23,Female,Right,2,Block 1,1.315853899999638,0.05,false,cat,bird,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_cat8.png,mask_img/000000049763.png,experiment,i,o,324.4784403999947
V3,13,23,Female,Right,3,Block 1,1.639799899996433,0.05,true,firehydrant,firehydrant,occlusion,low,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\low\fewlarge_partialViewing_low_firehydrant1.png,mask_img/000000028304.png,experiment,r,r,327.2059638999999
V3,13,23,Female,Right,4,Block 1,1.2702776000005542,0.05,false,person,firehydrant,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_person9.png,mask_img/000000052619.png,experiment,r,w,329.56599289999576
V3,13,23,Female,Right,5,Block 1,1.1997531000015442,0.1,true,bus,bus,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_bus4.png,mask_img/000000036966.png,experiment,q,q,331.6622045999975
V3,13,23,Female,Right,6,Block 1,1.3146730000007665,0.025,true,banana,banana,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_banana8.png,mask_img/000000043291.png,experiment,p,p,333.7901821999985
V3,13,23,Female,Right,7,Block 1,1.4568205000032322,0.025,false,tree,banana,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_tree8.png,mask_img/000000063804.png,experiment,p,e,336.2461487999972
V3,13,23,Female,Right,8,Block 1,1.954874800001562,0.025,true,tree,tree,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_tree5.png,mask_img/000000053410.png,experiment,e,e,339.1583985999969
V3,13,23,Female,Right,9,Block 1,1.0349896999978228,0.025,true,person,person,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_person9.png,mask_img/000000040771.png,experiment,w,w,341.32609539999976
V3,13,23,Female,Right,10,Block 1,1.66525140000158,0.025,false,bus,building,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_bus4.png,mask_img/000000058701.png,experiment,u,q,343.74213320000126
V3,13,23,Female,Right,11,Block 1,1.3657995000030496,0.05,true,bird,bird,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bird2.png,mask_img/000000001647.png,experiment,i,i,345.99004299999797
V3,13,23,Female,Right,12,Block 1,2.227609300003678,0.025,true,firehydrant,firehydrant,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_firehydrant6.png,mask_img/000000008025.png,experiment,r,r,349.08627319999505
V3,13,23,Female,Right,13,Block 1,1.8754810999962501,0.025,true,bird,bird,occlusion,low,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\low\fewlarge_partialViewing_low_bird5.png,mask_img/000000024239.png,experiment,i,i,352.0302248000007
V3,13,23,Female,Right,14,Block 1,2.282590300004813,0.1,true,bus,bus,occlusion,low,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\low\fewlarge_partialViewing_low_bus5.png,mask_img/000000026497.png,experiment,q,q,355.15029089999734
V3,13,23,Female,Right,15,Block 1,1.4486034000001382,0.05,true,tree,tree,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_tree9.png,mask_img/000000063867.png,experiment,e,e,357.64629050000076
V3,13,23,Female,Right,16,Block 1,1.119245999994746,0.05,true,firehydrant,firehydrant,occlusion,high,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\high\fewlarge_partialViewing_high_firehydrant3.png,mask_img/000000018864.png,experiment,r,r,359.494420899995
V3,13,23,Female,Right,17,Block 1,1.3254391999944346,0.025,false,firehydrant,bird,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_firehydrant1.png,mask_img/000000060464.png,experiment,i,r,361.83807479999814
V3,13,23,Female,Right,18,Block 1,1.2054669999997714,0.1,true,cat,cat,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_cat6.png,mask_img/000000038753.png,experiment,o,o,363.80616960000043
V3,13,23,Female,Right,19,Block 1,1.5525288999997429,0.025,false,bus,firehydrant,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_bus3.png,mask_img/000000047229.png,experiment,r,q,366.1021754999965
V3,13,23,Female,Right,20,Block 1,1.4360525999945821,0.05,true,tree,tree,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_tree2.png,mask_img/000000010560.png,experiment,e,e,368.38236340000003
V3,13,23,Female,Right,21,Block 1,1.30574969999725,0.1,false,building,bird,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_building10.png,mask_img/000000035857.png,experiment,i,u,370.81429930000013
