pt_num,Age,Gender,Handedness,trial_nbr,block_number,rt,soa,acc,category,choiced_category,manipulation,difficulty,mask,type_occl,size_occl,filename,mask_filename,task,pressed_key,correct_key,Experiment Duration
2,22,Female,Right,1,Training,3.2101287999976194,0.1,true,firehydrant,firehydrant,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_firehydrant205.png,mask_img/000000003225.png,training,r,r,219.98660689999815
2,22,Female,Right,2,Training,3.684049600000435,0.025,false,cat,bird,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_cat511.png,mask_img/000000000438.png,training,i,o,225.0946069999991
2,22,Female,Right,3,Training,3.0140895000004093,0.025,false,tree,firehydrant,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_tree25.png,mask_img/000000002197.png,training,r,e,229.55337890000374
2,22,Female,Right,4,Training,3.3611089999976684,0.025,false,person,bird,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_person587.png,mask_img/000000007179.png,training,i,q,234.41457719999744
2,22,Female,Right,5,Training,5.431233499999507,0.025,false,person,bus,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_person475.png,mask_img/000000006153.png,training,p,q,240.942904800002
2,22,Female,Right,6,Training,10.683434500002477,0.025,false,bus,NAN,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_bus630.png,mask_img/000000000394.png,training,NAN,p,252.7683840000027
2,22,Female,Right,7,Training,2.133219699993788,0.05,false,banana,person,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_banana589.png,mask_img/000000006437.png,training,q,u,256.26820150000276
2,22,Female,Right,8,Training,1.3791774000055739,0.05,true,tree,tree,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_tree25.png,mask_img/000000007325.png,training,e,e,258.99737370000366
2,22,Female,Right,9,Training,2.32290340000327,0.1,false,tree,bird,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_tree25.png,mask_img/000000006263.png,training,i,e,262.64423369999713
2,22,Female,Right,10,Training,3.1884783999994397,0.025,false,cat,banana,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_cat593.png,mask_img/000000003084.png,training,u,o,267.1479743000018
2,22,Female,Right,11,Training,1.7492053999958443,0.1,false,person,bird,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_person587.png,mask_img/000000007179.png,training,i,q,270.0397024999984
2,22,Female,Right,12,Training,1.801737799993134,0.05,true,firehydrant,firehydrant,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_firehydrant154.png,mask_img/000000000459.png,training,r,r,272.99354889999813
2,22,Female,Right,13,Training,1.1594210000039311,0.025,true,firehydrant,firehydrant,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_firehydrant205.png,mask_img/000000003225.png,training,r,r,275.26666049999767
2,22,Female,Right,14,Training,4.015396700000565,0.05,false,cat,bird,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_cat511.png,mask_img/000000005105.png,training,i,o,280.53327620000346
2,22,Female,Right,15,Training,2.2606365000028745,0.025,true,banana,banana,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_banana1022.png,mask_img/000000004239.png,training,u,u,284.1112248999998
2,22,Female,Right,16,Training,1.1757706000062171,0.05,true,person,person,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_person189.png,mask_img/000000005142.png,training,q,q,286.7896089999995
