pt_num,Age,Gender,Handedness,trial_nbr,block_number,rt,soa,acc,category,choiced_category,manipulation,difficulty,mask,type_occl,size_occl,filename,mask_filename,task,pressed_key,correct_key,Experiment Duration
3,24,Male,Left,1,Training,6.144253399999798,0.05,false,building,bird,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_building24.png,mask_img/000000000873.png,training,w,p,117.89024260000042
3,24,Male,Left,2,Training,3.175825100000111,0.025,false,tree,bus,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_tree9.png,mask_img/000000007325.png,training,o,q,122.1446805000005
3,24,Male,Left,3,Training,2.349076700000296,0.1,true,person,person,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_person189.png,mask_img/000000001997.png,training,e,e,126.00758150000001
3,24,Male,Left,4,Training,1.7372849999992468,0.025,true,banana,banana,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_banana454.png,mask_img/000000000042.png,training,u,u,129.33564660000047
3,24,Male,Left,5,Training,4.128645900000265,0.025,false,person,tree,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_person189.png,mask_img/000000006153.png,training,q,e,134.71073660000002
3,24,Male,Left,6,Training,1.8450765000006868,0.025,true,cat,cat,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_cat432.png,mask_img/000000000438.png,training,r,r,137.94503020000047
3,24,Male,Left,7,Training,2.913268500000413,0.025,false,cat,tree,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_cat432.png,mask_img/000000003084.png,training,q,r,142.1808721999996
3,24,Male,Left,8,Training,1.027828000000227,0.05,true,tree,tree,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_tree9.png,mask_img/000000005282.png,training,q,q,144.29024850000042
3,24,Male,Left,9,Training,3.516421999999693,0.05,false,person,banana,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_person189.png,mask_img/000000006153.png,training,u,e,149.2526859999998
3,24,Male,Left,10,Training,2.3697088999997504,0.05,false,bird,firehydrant,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_bird4.png,mask_img/000000005418.png,training,i,w,153.17648949999966
3,24,Male,Left,11,Training,1.3930044999997335,0.025,false,person,firehydrant,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_person189.png,mask_img/000000005142.png,training,i,e,155.8485799
3,24,Male,Left,12,Training,1.1319534000003841,0.1,true,bus,bus,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_bus180.png,mask_img/000000002892.png,training,o,o,158.39599650000036
3,24,Male,Left,13,Training,1.984226800000215,0.05,false,cat,tree,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_cat432.png,mask_img/000000003084.png,training,q,r,161.80193880000024
3,24,Male,Left,14,Training,1.7711982999999236,0.05,true,banana,banana,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_banana454.png,mask_img/000000000042.png,training,u,u,165.0211836999997
3,24,Male,Left,15,Training,1.9781636999996408,0.025,true,person,person,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_person189.png,mask_img/000000001997.png,training,e,e,168.55134429999998
3,24,Male,Left,16,Training,1.2519418000001679,0.1,true,banana,banana,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_banana454.png,mask_img/000000000042.png,training,u,u,171.02035200000046
3,24,Male,Left,17,Training,2.3720941999999923,0.025,false,building,tree,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_building24.png,mask_img/000000005574.png,training,q,p,174.8623177999998
3,24,Male,Left,18,Training,1.127190199999859,0.05,true,building,building,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_building24.png,mask_img/000000002822.png,training,p,p,177.5340384000001
3,24,Male,Left,19,Training,1.6079869000004692,0.05,false,building,bus,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_building24.png,mask_img/000000005574.png,training,o,p,180.40890690000015
3,24,Male,Left,20,Training,2.2090785999998843,0.1,true,cat,cat,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_cat432.png,mask_img/000000001647.png,training,r,r,183.84651120000035
3,24,Male,Left,21,Training,1.2051744000000326,0.05,true,cat,cat,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_cat432.png,mask_img/000000005105.png,training,r,r,186.44175030000042
3,24,Male,Left,22,Training,1.9968077000003177,0.025,true,tree,tree,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_tree9.png,mask_img/000000002197.png,training,q,q,189.9417598
3,24,Male,Left,23,Training,1.7745170999996844,0.1,false,person,bird,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_person189.png,mask_img/000000007179.png,training,w,e,193.0510807999999
3,24,Male,Left,24,Training,1.0896649999995134,0.025,true,building,building,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_building24.png,mask_img/000000000312.png,training,p,p,195.67677939999976
3,24,Male,Left,25,Training,2.5491753999995126,0.025,false,bird,firehydrant,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_bird4.png,mask_img/000000004642.png,training,i,w,199.55137170000035
3,24,Male,Left,26,Training,1.5100491000002876,0.025,false,bird,tree,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_bird4.png,mask_img/000000006481.png,training,q,w,202.55182960000002
3,24,Male,Left,27,Training,1.3067909999999756,0.1,true,bird,bird,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_bird4.png,mask_img/000000006481.png,training,w,w,205.17489939999996
3,24,Male,Left,28,Training,1.6528767999998308,0.025,false,firehydrant,cat,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_firehydrant90.png,mask_img/000000003225.png,training,r,i,208.31803310000032
3,24,Male,Left,29,Training,1.6046249999999418,0.025,false,firehydrant,banana,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_firehydrant90.png,mask_img/000000001810.png,training,u,i,211.14671240000007
3,24,Male,Left,30,Training,1.5827245000000403,0.1,true,bird,bird,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_bird4.png,mask_img/000000000109.png,training,w,w,214.0100422000005
3,24,Male,Left,31,Training,1.4230281999998624,0.05,true,firehydrant,firehydrant,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_firehydrant90.png,mask_img/000000000459.png,training,i,i,216.9904102999999
3,24,Male,Left,32,Training,1.4454047999997783,0.05,true,bus,bus,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_bus180.png,mask_img/000000001053.png,training,o,o,219.7872986000002
3,24,Male,Left,33,Training,1.4540015000002313,0.025,true,banana,banana,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_banana454.png,mask_img/000000004239.png,training,u,u,222.36543809999966
3,24,Male,Left,34,Training,1.5284772999993947,0.025,true,tree,tree,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_tree9.png,mask_img/000000003694.png,training,q,q,225.08419520000007
3,24,Male,Left,35,Training,1.3021254999994198,0.025,true,building,building,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_building24.png,mask_img/000000004739.png,training,p,p,227.50759910000033
3,24,Male,Left,36,Training,1.2742441999998846,0.05,true,bus,bus,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_bus180.png,mask_img/000000006709.png,training,o,o,229.93274850000034
3,24,Male,Left,37,Training,1.2343648000005487,0.1,true,building,building,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_building24.png,mask_img/000000004739.png,training,p,p,232.4484067000003
3,24,Male,Left,1,Block 1,1.8527055999993536,0.05,false,cat,tree,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_cat7.png,mask_img/000000049602.png,experiment,q,r,250.12514629999987
3,24,Male,Left,2,Block 1,2.9295633000001544,0.05,false,building,bus,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_building10.png,mask_img/000000057068.png,experiment,o,p,254.06116670000029
3,24,Male,Left,3,Block 1,0.9055229999994481,0.05,true,building,building,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_building9.png,mask_img/000000036226.png,experiment,p,p,256.0929603000004
3,24,Male,Left,4,Block 1,1.1737293000005593,0.05,true,firehydrant,firehydrant,occlusion,low,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\low\fewlarge_partialViewing_low_firehydrant8.png,mask_img/000000028988.png,experiment,i,i,257.9409816999996
3,24,Male,Left,5,Block 1,1.4668148000000656,0.025,true,person,person,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_person2.png,mask_img/000000008787.png,experiment,e,e,260.2850908999999
3,24,Male,Left,6,Block 1,1.5604730000004565,0.025,true,cat,cat,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_cat4.png,mask_img/000000059483.png,experiment,r,r,262.9729324
3,24,Male,Left,7,Block 1,0.8840596000000005,0.05,true,cat,cat,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_cat7.png,mask_img/000000007325.png,experiment,r,r,264.78105830000004
3,24,Male,Left,8,Block 1,1.339065500000288,0.1,false,banana,bus,occlusion,low,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\low\fewlarge_partialViewing_low_banana9.png,mask_img/000000023967.png,experiment,o,u,266.9809581999998
3,24,Male,Left,9,Block 1,1.3988712000000305,0.05,false,firehydrant,bird,occlusion,high,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\high\fewlarge_partialViewing_high_firehydrant3.png,mask_img/000000018864.png,experiment,w,i,269.44505540000046
3,24,Male,Left,10,Block 1,1.2190299000003506,0.05,true,firehydrant,firehydrant,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_firehydrant2.png,mask_img/000000039089.png,experiment,i,i,271.36682519999977
3,24,Male,Left,11,Block 1,2.9412640000000465,0.025,false,bird,bus,occlusion,low,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\low\fewlarge_partialViewing_low_bird9.png,mask_img/000000024530.png,experiment,o,w,275.0368053000002
3,24,Male,Left,12,Block 1,1.8581211000000621,0.1,true,cat,cat,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_cat4.png,mask_img/000000049331.png,experiment,r,r,277.9409512000002
3,24,Male,Left,13,Block 1,1.2096394000000146,0.1,true,bus,bus,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bus1.png,mask_img/000000005142.png,experiment,o,o,280.22914390000005
3,24,Male,Left,14,Block 1,1.7465309000008347,0.1,false,bird,cat,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_bird8.png,mask_img/000000044831.png,experiment,r,w,282.7333147999998
3,24,Male,Left,15,Block 1,0.8634861999998975,0.025,true,building,building,occlusion,high,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\high\fewlarge_partialViewing_high_building1.png,mask_img/000000014335.png,experiment,p,p,284.4207406000005
3,24,Male,Left,16,Block 1,1.2521484999997483,0.05,true,banana,banana,occlusion,low,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\low\fewlarge_partialViewing_low_banana3.png,mask_img/000000023004.png,experiment,u,u,286.6529480999998
3,24,Male,Left,17,Block 1,1.224644800000533,0.025,true,firehydrant,firehydrant,occlusion,high,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\high\fewlarge_partialViewing_high_firehydrant9.png,mask_img/000000019725.png,experiment,i,i,288.6609000999997
3,24,Male,Left,18,Block 1,1.0806574000007458,0.05,false,bird,cat,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_bird9.png,mask_img/000000044946.png,experiment,r,w,290.49289839999983
3,24,Male,Left,19,Block 1,1.249536000000262,0.1,true,person,person,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_person6.png,mask_img/000000040325.png,experiment,e,e,292.4529192
3,24,Male,Left,20,Block 1,1.3508223999997426,0.025,true,person,person,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_person1.png,mask_img/000000008341.png,experiment,e,e,294.69322399999965
3,24,Male,Left,21,Block 1,1.312633200000164,0.1,true,tree,tree,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_tree7.png,mask_img/000000063754.png,experiment,q,q,297.07681800000046
3,24,Male,Left,22,Block 1,1.555649199999607,0.05,true,cat,cat,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_cat1.png,mask_img/000000059036.png,experiment,r,r,299.4371970000002
3,24,Male,Left,23,Block 1,1.4105187999994087,0.1,false,banana,bird,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_banana7.png,mask_img/000000055594.png,experiment,w,u,301.9249675000001
3,24,Male,Left,24,Block 1,1.2616588999999294,0.1,true,banana,banana,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_banana7.png,mask_img/000000000626.png,experiment,u,u,304.2607842999996
3,24,Male,Left,25,Block 1,1.0675350000001345,0.05,true,firehydrant,firehydrant,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_firehydrant6.png,mask_img/000000039406.png,experiment,i,i,306.33295759999965
3,24,Male,Left,26,Block 1,1.138664900000549,0.025,true,person,person,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_person10.png,mask_img/000000008469.png,experiment,e,e,308.2549058000004
3,24,Male,Left,27,Block 1,1.1007228999997096,0.025,true,bus,bus,occlusion,high,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\high\fewlarge_partialViewing_high_bus5.png,mask_img/000000015986.png,experiment,o,o,310.38904230000026
3,24,Male,Left,28,Block 1,1.6549072000007072,0.1,false,banana,tree,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_banana3.png,mask_img/000000054875.png,experiment,q,u,313.1647253000001
3,24,Male,Left,29,Block 1,1.0449347999992824,0.05,true,bird,bird,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bird3.png,mask_img/000000001810.png,experiment,w,w,314.8772058000004
3,24,Male,Left,30,Block 1,1.2295569999996587,0.1,true,bus,bus,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_bus7.png,mask_img/000000037339.png,experiment,o,o,316.90103499999987
3,24,Male,Left,31,Block 1,0.921983100000034,0.1,false,person,bird,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_person6.png,mask_img/000000062337.png,experiment,w,e,318.7809422
3,24,Male,Left,32,Block 1,0.9520721999997477,0.025,false,bird,person,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_bird3.png,mask_img/000000044123.png,experiment,e,w,320.8450756000002
3,24,Male,Left,33,Block 1,0.9153644999996686,0.05,true,tree,tree,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_tree5.png,mask_img/000000010991.png,experiment,q,q,322.81492979999985
3,24,Male,Left,34,Block 1,0.8724763000000166,0.025,true,building,building,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_building7.png,mask_img/000000036029.png,experiment,p,p,324.55690289999984
3,24,Male,Left,35,Block 1,1.3734150999998747,0.025,false,firehydrant,bus,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_firehydrant10.png,mask_img/000000060529.png,experiment,o,i,326.6933383000005
3,24,Male,Left,36,Block 1,0.9669932999995581,0.025,true,firehydrant,firehydrant,occlusion,high,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\high\fewlarge_partialViewing_high_firehydrant6.png,mask_img/000000019134.png,experiment,i,i,328.65294879999965
3,24,Male,Left,37,Block 1,1.1185964999995122,0.1,false,banana,bird,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_banana2.png,mask_img/000000042408.png,experiment,w,u,330.61288349999995
3,24,Male,Left,38,Block 1,0.8403431999995519,0.025,true,bird,bird,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_bird9.png,mask_img/000000035514.png,experiment,w,w,332.2851042000002
3,24,Male,Left,39,Block 1,0.8825851000001421,0.025,true,tree,tree,occlusion,high,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\high\fewlarge_partialViewing_high_tree5.png,mask_img/000000022102.png,experiment,q,q,333.9810008000004
3,24,Male,Left,40,Block 1,0.6884729000003063,0.05,true,bird,bird,occlusion,low,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\low\fewlarge_partialViewing_low_bird6.png,mask_img/000000024247.png,experiment,w,w,335.54888329999994
