Version,pt_num,Age,Gender,Handedness,trial_nbr,block_number,rt,soa,acc,category,choiced_category,manipulation,difficulty,mask,type_occl,size_occl,filename,mask_filename,task,pressed_key,correct_key,Experiment Duration
V3,28,23,Female,Right,1,Training,4.52862949995324,0.05,false,cat,bird,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_cat432.png,mask_img/000000006842.png,training,e,i,153.0767535000341
V3,28,23,Female,Right,2,Training,1.886733099934645,0.05,true,bus,bus,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_bus180.png,mask_img/000000000394.png,training,q,q,156.06127810000908
V3,28,23,Female,Right,3,Training,1.0292126999702305,0.025,true,bus,bus,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_bus180.png,mask_img/000000001053.png,training,q,q,158.60764940001536
V3,28,23,Female,Right,4,Training,2.973108600010164,0.1,false,bird,tree,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_bird4.png,mask_img/000000005418.png,training,u,e,163.14028589997906
V3,28,23,Female,Right,5,Training,2.101078400039114,0.025,true,cat,cat,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_cat432.png,mask_img/000000001647.png,training,i,i,166.53086749999784
V3,28,23,Female,Right,6,Training,3.287526599946432,0.1,false,cat,person,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_cat432.png,mask_img/000000005862.png,training,o,i,171.15742689999752
V3,28,23,Female,Right,7,Training,1.621243100031279,0.05,true,banana,banana,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_banana454.png,mask_img/000000004239.png,training,w,w,174.04805410001427
V3,28,23,Female,Right,8,Training,2.9974765999941155,0.05,false,bird,building,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_bird4.png,mask_img/000000000731.png,training,r,e,178.50115120003466
V3,28,23,Female,Right,9,Training,4.8495420999825,0.025,false,bus,bird,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_bus180.png,mask_img/000000006709.png,training,e,q,184.70577940007206
V3,28,23,Female,Right,10,Training,2.2620860999450088,0.025,true,building,building,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_building24.png,mask_img/000000006489.png,training,r,r,188.4713699000422
V3,28,23,Female,Right,11,Training,3.431784400017932,0.025,false,cat,firehydrant,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_cat432.png,mask_img/000000005105.png,training,p,i,193.14368039998226
V3,28,23,Female,Right,12,Training,1.6380382999777794,0.1,true,banana,banana,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_banana454.png,mask_img/000000006437.png,training,w,w,195.91071500000544
V3,28,23,Female,Right,13,Training,1.4166847000597045,0.1,true,bus,bus,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_bus180.png,mask_img/000000006709.png,training,q,q,198.49941920000128
V3,28,23,Female,Right,14,Training,0.764208700042218,0.025,false,building,bus,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_building24.png,mask_img/000000005574.png,training,q,r,200.45311610004865
V3,28,23,Female,Right,15,Training,2.361765200039372,0.025,false,bird,tree,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_bird4.png,mask_img/000000005418.png,training,u,e,204.00215640000533
V3,28,23,Female,Right,16,Training,2.3668981000082567,0.1,true,person,person,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_person189.png,mask_img/000000005142.png,training,o,o,207.90843489998952
V3,28,23,Female,Right,17,Training,1.353401199914515,0.1,true,firehydrant,firehydrant,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_firehydrant90.png,mask_img/000000005131.png,training,p,p,210.72092340001836
V3,28,23,Female,Right,18,Training,2.393591200001538,0.025,true,tree,tree,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_tree9.png,mask_img/000000005282.png,training,u,u,214.37721770000644
V3,28,23,Female,Right,19,Training,2.7933775999117643,0.1,true,cat,cat,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_cat432.png,mask_img/000000000438.png,training,i,i,218.58028029999696
V3,28,23,Female,Right,20,Training,2.0829923000419512,0.1,true,tree,tree,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_tree9.png,mask_img/000000002197.png,training,u,u,221.938700000057
V3,28,23,Female,Right,21,Training,1.6661176999332383,0.1,true,banana,banana,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_banana454.png,mask_img/000000002337.png,training,w,w,224.9856715000933
V3,28,23,Female,Right,22,Training,3.408033699961379,0.05,true,tree,tree,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_tree9.png,mask_img/000000000626.png,training,u,u,229.9701008000411
V3,28,23,Female,Right,23,Training,1.6686958000063896,0.05,true,building,building,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_building24.png,mask_img/000000005574.png,training,r,r,232.737205500016
V3,28,23,Female,Right,1,Block 1,1.4571856000693515,0.025,false,building,bird,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_building1.png,mask_img/000000003084.png,experiment,e,r,245.79516630002763
V3,28,23,Female,Right,2,Block 1,1.3282004999928176,0.05,true,banana,banana,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_banana2.png,mask_img/000000000312.png,experiment,w,w,248.26660319999792
V3,28,23,Female,Right,3,Block 1,1.422570800059475,0.025,true,cat,cat,occlusion,high,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\high\fewlarge_partialViewing_high_cat4.png,mask_img/000000017364.png,experiment,i,i,250.63447749998886
V3,28,23,Female,Right,4,Block 1,1.3675054999766871,0.1,true,building,building,occlusion,high,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\high\fewlarge_partialViewing_high_building8.png,mask_img/000000015366.png,experiment,r,r,252.86633920005988
V3,28,23,Female,Right,5,Block 1,1.2578231000807136,0.05,true,building,building,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_building6.png,mask_img/000000046155.png,experiment,r,r,255.02828460000455
V3,28,23,Female,Right,6,Block 1,0.9996769999852404,0.1,true,bus,bus,occlusion,low,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\low\fewlarge_partialViewing_low_bus10.png,mask_img/000000025855.png,experiment,q,q,256.73854430008214
V3,28,23,Female,Right,7,Block 1,1.492534999968484,0.025,false,building,cat,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_building8.png,mask_img/000000058073.png,experiment,i,r,258.93054510001093
V3,28,23,Female,Right,8,Block 1,1.215392200043425,0.05,true,firehydrant,firehydrant,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_firehydrant8.png,mask_img/000000039553.png,experiment,p,p,260.93886029999703
V3,28,23,Female,Right,9,Block 1,1.2866300999885425,0.1,true,building,building,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_building1.png,mask_img/000000003084.png,experiment,r,r,263.22636080009397
V3,28,23,Female,Right,10,Block 1,1.425723599968478,0.05,true,banana,banana,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_banana1.png,mask_img/000000033073.png,experiment,w,w,265.78657130000647
V3,28,23,Female,Right,11,Block 1,2.015255399979651,0.025,true,person,person,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_person6.png,mask_img/000000009469.png,experiment,o,o,268.8584056000691
V3,28,23,Female,Right,12,Block 1,1.5557463000295684,0.025,true,cat,cat,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_cat6.png,mask_img/000000059918.png,experiment,i,i,271.2990590999834
V3,28,23,Female,Right,13,Block 1,1.1985539000015706,0.025,true,banana,banana,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_banana10.png,mask_img/000000042196.png,experiment,w,w,273.51444509997964
V3,28,23,Female,Right,14,Block 1,0.6718317000195384,0.1,true,banana,banana,occlusion,low,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\low\fewlarge_partialViewing_low_banana6.png,mask_img/000000023137.png,experiment,w,w,275.34110329998657
V3,28,23,Female,Right,15,Block 1,1.322484300006181,0.1,true,person,person,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_person8.png,mask_img/000000009729.png,experiment,o,o,277.7304804000305
V3,28,23,Female,Right,16,Block 1,1.6642885999754071,0.1,true,bus,bus,occlusion,low,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\low\fewlarge_partialViewing_low_bus1.png,mask_img/000000025820.png,experiment,q,q,280.4428970000008
V3,28,23,Female,Right,17,Block 1,0.611100299982354,0.05,true,firehydrant,firehydrant,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_firehydrant1.png,mask_img/000000039012.png,experiment,p,p,281.99439120001625
V3,28,23,Female,Right,18,Block 1,0.7173396999714896,0.025,true,bus,bus,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bus3.png,mask_img/000000005418.png,experiment,q,q,283.74042260006536
V3,28,23,Female,Right,19,Block 1,0.7291406999574974,0.05,true,person,person,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_person2.png,mask_img/000000039971.png,experiment,o,o,285.2185995000182
V3,28,23,Female,Right,20,Block 1,1.601440400001593,0.05,true,building,building,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_building10.png,mask_img/000000035857.png,experiment,r,r,287.8025662000291
V3,28,23,Female,Right,21,Block 1,0.882259099977091,0.1,true,building,building,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_building5.png,mask_img/000000036004.png,experiment,r,r,289.4263539999956
V3,28,23,Female,Right,22,Block 1,1.5500434000277892,0.05,false,bird,person,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_bird6.png,mask_img/000000044523.png,experiment,o,e,292.0346189000411
V3,28,23,Female,Right,23,Block 1,0.7167928999988362,0.05,true,firehydrant,firehydrant,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_firehydrant2.png,mask_img/000000060548.png,experiment,p,p,293.73057340004016
V3,28,23,Female,Right,24,Block 1,1.487387100001797,0.1,true,building,building,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_building5.png,mask_img/000000004642.png,experiment,r,r,296.2825724000577
V3,28,23,Female,Right,25,Block 1,0.6418852000497282,0.1,true,bus,bus,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bus2.png,mask_img/000000005359.png,experiment,q,q,297.6489601000212
V3,28,23,Female,Right,26,Block 1,0.2704936000518501,0.025,false,cat,bus,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_cat2.png,mask_img/000000038375.png,experiment,q,i,298.91597410000395
V3,28,23,Female,Right,27,Block 1,0.6191191000398248,0.1,false,cat,person,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_cat4.png,mask_img/000000006842.png,experiment,o,i,300.6002125000814
V3,28,23,Female,Right,28,Block 1,2.359629200072959,0.025,true,bird,bird,occlusion,low,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\low\fewlarge_partialViewing_low_bird3.png,mask_img/000000024157.png,experiment,e,e,303.97055420000106
V3,28,23,Female,Right,29,Block 1,1.226496099960059,0.1,true,person,person,occlusion,low,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\low\fewlarge_partialViewing_low_person10.png,mask_img/000000029128.png,experiment,o,o,306.1305161000928
V3,28,23,Female,Right,30,Block 1,1.7341151000000536,0.05,false,firehydrant,bird,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_firehydrant2.png,mask_img/000000050239.png,experiment,e,p,308.9550220000092
V3,28,23,Female,Right,31,Block 1,1.582345400005579,0.1,true,building,building,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_building2.png,mask_img/000000045306.png,experiment,r,r,311.4841904999921
V3,28,23,Female,Right,32,Block 1,0.8843620999250561,0.1,true,person,person,occlusion,high,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\high\fewlarge_partialViewing_high_person3.png,mask_img/000000020147.png,experiment,o,o,313.258595900028
V3,28,23,Female,Right,33,Block 1,1.101693700067699,0.05,false,bird,banana,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bird7.png,mask_img/000000002774.png,experiment,w,e,315.4025296000764
V3,28,23,Female,Right,34,Block 1,2.055612799944356,0.025,false,cat,building,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_cat8.png,mask_img/000000049763.png,experiment,r,i,318.17043410008773
V3,28,23,Female,Right,35,Block 1,1.0067918000277132,0.05,true,person,person,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_person10.png,mask_img/000000061838.png,experiment,o,o,320.1944850999862
V3,28,23,Female,Right,36,Block 1,1.467341999989003,0.1,false,bus,building,occlusion,high,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\high\fewlarge_partialViewing_high_bus3.png,mask_img/000000015908.png,experiment,r,q,322.65076720004436
