Version,pt_num,Age,Gender,Handedness,trial_nbr,block_number,rt,soa,acc,category,choiced_category,manipulation,difficulty,mask,type_occl,size_occl,filename,mask_filename,task,pressed_key,correct_key,Experiment Duration
V3,24,24,Female,Right,1,Training,2.436962300009327,0.1,true,banana,banana,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_banana454.png,mask_img/000000002337.png,training,e,e,229.09120009999606
V3,24,24,Female,Right,2,Training,2.519016499980353,0.025,false,building,cat,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_building24.png,mask_img/000000000873.png,training,i,q,233.04485299999942
V3,24,24,Female,Right,3,Training,2.303810900019016,0.1,true,bus,bus,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_bus180.png,mask_img/000000006709.png,training,w,w,236.92100140001276
V3,24,24,Female,Right,4,Training,2.8222690999973565,0.025,false,banana,bus,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_banana454.png,mask_img/000000005359.png,training,w,e,241.0108344000182
V3,24,24,Female,Right,5,Training,1.6607310999825131,0.1,false,cat,person,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_cat432.png,mask_img/000000006842.png,training,o,i,243.82297150001978
V3,24,24,Female,Right,6,Training,3.558817999990424,0.025,false,tree,cat,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_tree9.png,mask_img/000000007325.png,training,i,r,248.85577029999695
V3,24,24,Female,Right,7,Training,1.0624012000043876,0.05,true,building,building,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_building24.png,mask_img/000000004739.png,training,q,q,251.38692300001276
V3,24,24,Female,Right,8,Training,2.9426630999951158,0.025,false,firehydrant,banana,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_firehydrant90.png,mask_img/000000006146.png,training,e,p,255.54523670001072
V3,24,24,Female,Right,9,Training,0.7943527000024915,0.1,true,building,building,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_building24.png,mask_img/000000000873.png,training,q,q,257.5760061000183
V3,24,24,Female,Right,10,Training,1.744118399976287,0.025,true,banana,banana,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_banana454.png,mask_img/000000002337.png,training,e,e,260.43532790002064
V3,24,24,Female,Right,11,Training,0.7232844999816734,0.05,true,building,building,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_building24.png,mask_img/000000002822.png,training,q,q,262.62249520001933
V3,24,24,Female,Right,12,Training,1.464302200009115,0.025,false,cat,person,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_cat432.png,mask_img/000000005105.png,training,o,i,265.27907920000143
V3,24,24,Female,Right,13,Training,2.4864842999959365,0.1,false,banana,person,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_banana454.png,mask_img/000000006437.png,training,o,e,269.2163894000114
V3,24,24,Female,Right,14,Training,1.3153091999993194,0.05,true,firehydrant,firehydrant,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_firehydrant90.png,mask_img/000000005131.png,training,p,p,272.0615649000101
V3,24,24,Female,Right,15,Training,1.9790332000120543,0.1,true,bird,bird,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_bird4.png,mask_img/000000005418.png,training,u,u,275.6088620000228
V3,24,24,Female,Right,16,Training,1.140695699985372,0.025,true,firehydrant,firehydrant,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_firehydrant90.png,mask_img/000000001810.png,training,p,p,278.18658239999786
V3,24,24,Female,Right,17,Training,2.135391799994977,0.025,false,person,bus,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_person189.png,mask_img/000000006153.png,training,w,o,281.6553370000038
V3,24,24,Female,Right,18,Training,1.3769925000087824,0.1,true,bus,bus,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_bus180.png,mask_img/000000004936.png,training,w,w,284.4523191000044
V3,24,24,Female,Right,19,Training,1.326489400002174,0.05,false,person,cat,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_person189.png,mask_img/000000007179.png,training,i,o,287.31455670000287
V3,24,24,Female,Right,20,Training,0.9664827999949921,0.025,true,bird,bird,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_bird4.png,mask_img/000000000109.png,training,u,u,289.84460810001474
V3,24,24,Female,Right,21,Training,1.4846606999926735,0.05,true,bus,bus,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_bus180.png,mask_img/000000005615.png,training,w,w,292.891391400015
V3,24,24,Female,Right,22,Training,1.136898900003871,0.05,true,bus,bus,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_bus180.png,mask_img/000000001053.png,training,w,w,295.5200557000062
V3,24,24,Female,Right,23,Training,1.386686899990309,0.1,false,bird,cat,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_bird4.png,mask_img/000000000731.png,training,i,u,298.1441338000004
V3,24,24,Female,Right,24,Training,1.7445911999966484,0.05,false,tree,person,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_tree9.png,mask_img/000000002197.png,training,o,r,301.2566307000234
V3,24,24,Female,Right,25,Training,2.0365229999879375,0.1,true,tree,tree,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_tree9.png,mask_img/000000006263.png,training,r,r,304.428888000024
