Version,pt_num,Age,Gender,Handedness,trial_nbr,block_number,rt,soa,acc,category,choiced_category,manipulation,difficulty,mask,type_occl,size_occl,filename,mask_filename,task,pressed_key,correct_key,Experiment Duration
V3,25,23,Female,Right,1,Training,2.92521869999473,0.025,false,tree,banana,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_tree9.png,mask_img/000000000626.png,training,i,e,329.84955849999096
V3,25,23,Female,Right,2,Training,1.1311510000086855,0.05,false,tree,building,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_tree9.png,mask_img/000000007325.png,training,u,e,332.55927230001544
V3,25,23,Female,Right,3,Training,2.5157948000123724,0.025,false,tree,bird,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_tree9.png,mask_img/000000002197.png,training,w,e,336.5470764999918
V3,25,23,Female,Right,4,Training,1.6618751999922097,0.025,false,bus,building,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_bus180.png,mask_img/000000004936.png,training,u,r,339.3437055000104
V3,25,23,Female,Right,5,Training,2.385591900005238,0.05,false,cat,tree,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_cat432.png,mask_img/000000005862.png,training,e,q,342.9844143000082
V3,25,23,Female,Right,6,Training,2.68936260000919,0.05,true,building,building,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_building24.png,mask_img/000000005574.png,training,u,u,347.1095515000052
V3,25,23,Female,Right,7,Training,2.698245700012194,0.025,false,cat,tree,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_cat432.png,mask_img/000000003084.png,training,e,q,351.3295414999884
V3,25,23,Female,Right,8,Training,1.5874301999865565,0.1,false,banana,person,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_banana454.png,mask_img/000000000690.png,training,o,i,354.2045464999974
V3,25,23,Female,Right,9,Training,2.0797468000091612,0.1,false,person,building,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_person189.png,mask_img/000000000595.png,training,u,o,357.54832659999374
V3,25,23,Female,Right,10,Training,2.4634009999863338,0.05,false,bus,building,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_bus180.png,mask_img/000000005615.png,training,u,r,361.1889144000015
V3,25,23,Female,Right,11,Training,2.056106300005922,0.05,false,banana,bus,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_banana454.png,mask_img/000000005359.png,training,r,i,364.3331914000155
V3,25,23,Female,Right,12,Training,2.2002531999896746,0.05,true,banana,banana,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_banana454.png,mask_img/000000006437.png,training,i,i,367.7550745999906
V3,25,23,Female,Right,13,Training,2.2157861000159755,0.1,true,building,building,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_building24.png,mask_img/000000002822.png,training,u,u,371.38123210001504
V3,25,23,Female,Right,14,Training,1.9450368000252638,0.025,true,person,person,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_person189.png,mask_img/000000001997.png,training,o,o,374.5697696999996
V3,25,23,Female,Right,15,Training,2.1489715999923646,0.05,true,bus,bus,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_bus180.png,mask_img/000000006709.png,training,r,r,377.804157400009
V3,25,23,Female,Right,16,Training,1.5727559000079054,0.025,true,building,building,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_building24.png,mask_img/000000000873.png,training,u,u,380.4761223999958
V3,25,23,Female,Right,17,Training,2.1704574000032153,0.1,true,tree,tree,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_tree9.png,mask_img/000000007325.png,training,e,e,384.06976149999537
V3,25,23,Female,Right,18,Training,1.5668230000010226,0.05,true,bird,bird,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_bird4.png,mask_img/000000000109.png,training,w,w,386.75736449999386
V3,25,23,Female,Right,19,Training,1.5694769999827258,0.05,true,cat,cat,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_cat432.png,mask_img/000000005105.png,training,q,q,389.8864603000111
V3,25,23,Female,Right,1,Block 1,1.5612201000039931,0.05,false,firehydrant,banana,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_firehydrant10.png,mask_img/000000050148.png,experiment,i,p,404.83694020000985
V3,25,23,Female,Right,2,Block 1,2.1679451999953017,0.05,true,banana,banana,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_banana7.png,mask_img/000000055594.png,experiment,i,i,408.1568802999973
V3,25,23,Female,Right,3,Block 1,2.175449300004402,0.1,true,cat,cat,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_cat1.png,mask_img/000000059036.png,experiment,q,q,411.1329204000067
V3,25,23,Female,Right,4,Block 1,1.7950511999952141,0.1,true,banana,banana,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_banana4.png,mask_img/000000033667.png,experiment,i,i,413.6846477999934
V3,25,23,Female,Right,5,Block 1,1.7235233000246808,0.05,true,tree,tree,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_tree4.png,mask_img/000000041022.png,experiment,e,e,416.4131013000151
V3,25,23,Female,Right,6,Block 1,3.3879376999975648,0.025,true,firehydrant,firehydrant,occlusion,low,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\low\fewlarge_partialViewing_low_firehydrant7.png,mask_img/000000028885.png,experiment,p,p,420.63683299999684
V3,25,23,Female,Right,7,Block 1,2.0905040000216104,0.05,true,bus,bus,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_bus5.png,mask_img/000000037140.png,experiment,r,r,423.70878789998824
