,person,cat,bird,tree,banana,building,firehydrant,bus
person,0.0,2.9804644995309855,1.6015957720845335,1.816635445306552,2.5870463325831654,3.4279632430220546,1.6594266456039168,3.5477897680796584
cat,2.9804644995309855,0.0,1.9975791761427395,1.941714432857026,1.8960392103385195,1.2166476285522634,2.9867271357992204,1.4357491165974767
bird,1.6015957720845335,1.9975791761427395,0.0,1.1379613725253808,2.2224777510746425,2.6063482079987863,1.885350186153217,2.720046140124539
tree,1.816635445306552,1.941714432857026,1.1379613725253808,0.0,2.1332543364765386,2.4507456972025836,2.0390622306852006,2.432374165283185
banana,2.5870463325831654,1.8960392103385195,2.2224777510746425,2.1332543364765386,0.0,2.0299929457251196,2.7767298928560344,2.1808355293496375
building,3.4279632430220546,1.2166476285522634,2.6063482079987863,2.4507456972025836,2.0299929457251196,0.0,3.459165142763664,1.2030390355610863
firehydrant,1.6594266456039168,2.9867271357992204,1.885350186153217,2.0390622306852006,2.7767298928560344,3.459165142763664,0.0,3.59018198996614
bus,3.5477897680796584,1.4357491165974767,2.720046140124539,2.432374165283185,2.1808355293496375,1.2030390355610863,3.59018198996614,0.0
