Trial Number,Condition,Reaction Time,Accuracy,Stimulus Category,Participant Choice Category,Masking Condition
1,Feedback,0.8294007999938913,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//blobhighmatched_bus1.png,bus,Masked
2,Feedback,0.38106990000233054,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//hp_matched_bus3.png,bus,Masked
3,Feedback,1.5068320999853313,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//partialViewinglowmatched_tree2.png,tree,Unmasked
4,Feedback,0.49476210001739673,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//ms_bloblowmatched_firehydrant1.png,fire hydrant,Masked
5,Feedback,0.7324345000088215,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//ms_deletionlowmatched_firehydrant6.png,fire hydrant,Unmasked
6,Feedback,0.7630719000007957,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//partialViewinghighmatched_firehydrant2.png,fire hydrant,Unmasked
7,Feedback,0.9254919000086375,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//ms_partialViewinghighmatched_building10.png,building,Masked
8,Feedback,0.4924505000235513,incorrect,C://Users//veoni//Desktop//THESIS//Task//Everything//deletionhighmatched_cat5.png,fire hydrant,Masked
9,Feedback,0.5040826000040397,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//ms_blobhighmatched_bus4.png,bus,Masked
10,Feedback,0.8064831999945454,incorrect,C://Users//veoni//Desktop//THESIS//Task//Everything//ms_partialViewinghighmatched_bus4.png,tree,Unmasked
11,Feedback,0.5717912999971304,incorrect,C://Users//veoni//Desktop//THESIS//Task//Everything//deletionhighmatched_cat8.png,banana,Masked
12,Feedback,0.9515111000218894,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//bloblowmatched_cat1.png,cat,Masked
13,Feedback,0.8787912999978289,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//ms_blobhighmatched_person7.png,person,Unmasked
14,Feedback,0.40722290001576766,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//hp_matched_firehydrant3.png,fire hydrant,Masked
15,Feedback,9.769998723641038e-05,incorrect,C://Users//veoni//Desktop//THESIS//Task//Everything//control_bus1.png,fire hydrant,Unmasked
16,Feedback,0.7146417000039946,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//partialViewinghighmatched_tree3.png,tree,Masked
17,Feedback,0.6704873999988195,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//partialViewinglowmatched_cat1.png,cat,Masked
18,Feedback,1.0783216999843717,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//ms_partialViewinglowmatched_firehydrant5.png,fire hydrant,Unmasked
19,Feedback,0.6332357000210322,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//ms_deletionlowmatched_building5.png,building,Masked
20,Feedback,0.8297992000007071,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//heavycluttermatched_bird10.png,bird,Masked
21,Feedback,1.1888393000117503,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//blobhighmatched_cat8.png,cat,Unmasked
22,Feedback,1.186507200007327,incorrect,C://Users//veoni//Desktop//THESIS//Task//Everything//blobhighmatched_cat7.png,building,Unmasked
23,Feedback,0.5829388999845833,incorrect,C://Users//veoni//Desktop//THESIS//Task//Everything//ms_partialViewinglowmatched_firehydrant9.png,cat,Masked
24,Feedback,1.3518783999898005,incorrect,C://Users//veoni//Desktop//THESIS//Task//Everything//ms_partialViewinglowmatched_bus7.png,fire hydrant,Masked
25,Feedback,1.0452573000220582,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//blobhighmatched_person10.png,person,Unmasked
