Trial Number,Condition,Reaction Time,Accuracy,Stimulus Category,Participant Choice Category
1,Feedback,0.7670333,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//deletionlowmatched_cat10.png,cat
2,Feedback,1.2456006,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//ms_bloblowmatched_cat4.png,cat
3,Feedback,1.1381909,incorrect,C://Users//veoni//Desktop//THESIS//Task//Everything//lp_matched_tree2.png,cat
4,Feedback,1.3169246,incorrect,C://Users//veoni//Desktop//THESIS//Task//Everything//ms_partialViewinghighmatched_banana1.png,bus
5,Feedback,1.1880416,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//ms_deletionlowmatched_bus5.png,bus
6,Feedback,2.1309353,incorrect,C://Users//veoni//Desktop//THESIS//Task//Everything//ms_blobhighmatched_cat9.png,bird
7,Feedback,1.9755467,incorrect,C://Users//veoni//Desktop//THESIS//Task//Everything//ms_blobhighmatched_building7.png,tree
8,Feedback,0.6534111,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//hp_matched_banana3.png,banana
9,Feedback,0.8947054,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//partialViewinglowmatched_cat9.png,cat
10,Feedback,0.5436674,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//deletionhighmatched_bird4.png,bird
11,Feedback,0.7125824,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//partialViewinglowmatched_bus9.png,bus
12,Feedback,1.1755273,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//partialViewinghighmatched_tree6.png,tree
13,Feedback,1.0808687,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//partialViewinghighmatched_person7.png,person
14,Feedback,0.6521365,incorrect,C://Users//veoni//Desktop//THESIS//Task//Everything//lightcluttermatched_banana4.png,bus
15,Feedback,0.800666,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//heavycluttermatched_tree7.png,tree
16,Feedback,1.0813674,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//deletionlowmatched_person10.png,person
17,Feedback,0.4062106,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//control_bird5.png,bird
18,Feedback,0.8368678,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//deletionlowmatched_tree1.png,tree
19,Feedback,1.154778,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//hp_matched_person7.png,person
20,Feedback,1.3278097,incorrect,C://Users//veoni//Desktop//THESIS//Task//Everything//bloblowmatched_firehydrant9.png,fire hydrant
21,Feedback,0.4909925,incorrect,C://Users//veoni//Desktop//THESIS//Task//Everything//partialViewinghighmatched_firehydrant5.png,fire hydrant
22,Feedback,0.4572802,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//deletionlowmatched_bus4.png,bus
23,Feedback,1.5026103,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//ms_bloblowmatched_cat5.png,cat
24,Feedback,0.6853082,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//deletionlowmatched_tree7.png,tree
25,Feedback,0.6410705,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//heavycluttermatched_bus10.png,bus
