Trial Number,Condition,Reaction Time,Accuracy,Stimulus Category,Participant Choice Category,Masking Condition
1,Feedback,0.597537,correct,bloblowmatched_banana3,banana,Masked
2,Feedback,0.4868441,correct,/partialViewinglowmatched_banana3.,banana,Masked
3,Feedback,0.7123713,correct,/lightcluttermatched_cat9.,cat,Masked
4,Feedback,1.1136474,correct,/deletionlowmatched_bird4.,bird,Unmasked
5,Feedback,1.464358,incorrect,/ms_partialViewinghighmatched_firehydrant2.,building,Unmasked
6,Feedback,1.0284704,correct,/lp_matched_person10.,person,Unmasked
7,Feedback,0.6782015,correct,/bloblowmatched_building4.,building,Masked
8,Feedback,1.3733079,incorrect,/blobhighmatched_tree7.,building,Masked
9,Feedback,1.0863996,correct,/lp_matched_person1.,person,Unmasked
10,Feedback,1.2412604,correct,/lp_matched_bird3.,bird,Masked
11,Feedback,1.1063705,correct,/partialViewinglowmatched_tree9.,tree,Unmasked
12,Feedback,0.9058726,correct,/heavycluttermatched_bus7.,bus,Unmasked
13,Feedback,1.3113583,incorrect,/heavycluttermatched_tree6.,building,Unmasked
14,Feedback,0.8198604,incorrect,/deletionlowmatched_building8.,person,Masked
15,Feedback,1.4791146,incorrect,/ms_partialViewinglowmatched_tree7.,building,Masked
16,Feedback,1.1273665,correct,/ms_partialViewinglowmatched_firehydrant8.,fire hydrant,Unmasked
17,Feedback,0.6886491,correct,/bloblowmatched_bird3.,bird,Masked
18,Feedback,0.963286,incorrect,/partialViewinghighmatched_bird10.,bus,Unmasked
19,Feedback,0.3467443,correct,/ms_deletionlowmatched_person8.,person,Masked
20,Feedback,0.3459447,correct,/hp_matched_firehydrant5.,fire hydrant,Masked
21,Feedback,1.295603,incorrect,/lp_matched_banana5.,cat,Masked
22,Feedback,0.6184958,correct,/hp_matched_bird5.,bird,Unmasked
23,Feedback,0.8787095,incorrect,/lp_matched_tree5.,person,Unmasked
24,Feedback,0.6417297,correct,/ms_blobhighmatched_bus9.,bus,Unmasked
25,Feedback,1.0296464,correct,/partialViewinghighmatched_person8.,person,Unmasked
