,filename,mask_filename,category,manipulation,difficulty,mask,type_occl,size_occl,soa
0,N_Training_Stim\fewlarge_partialViewing_control_banana589.png,mask_img/000000000042.png,banana,occlusion,control,mask,partial viewing,few large,0.025
1,N_Training_Stim\fewlarge_partialViewing_control_bird394.png,mask_img/000000000109.png,bird,occlusion,control,mask,partial viewing,few large,0.025
2,N_Training_Stim\fewlarge_partialViewing_control_building48.png,mask_img/000000000312.png,building,occlusion,control,mask,partial viewing,few large,0.025
3,N_Training_Stim\fewlarge_partialViewing_control_bus630.png,mask_img/000000000394.png,bus,occlusion,control,mask,partial viewing,few large,0.025
4,N_Training_Stim\fewlarge_partialViewing_control_cat511.png,mask_img/000000000438.png,cat,occlusion,control,mask,partial viewing,few large,0.025
5,N_Training_Stim\fewlarge_partialViewing_control_firehydrant154.png,mask_img/000000000459.png,firehydrant,occlusion,control,mask,partial viewing,few large,0.025
6,N_Training_Stim\fewlarge_partialViewing_control_person475.png,mask_img/000000000595.png,person,occlusion,control,mask,partial viewing,few large,0.025
7,N_Training_Stim\fewlarge_partialViewing_control_tree17.png,mask_img/000000000626.png,tree,occlusion,control,mask,partial viewing,few large,0.025
8,N_Training_Stim\fewlarge_partialViewing_high_banana1022.png,mask_img/000000000690.png,banana,occlusion,high,mask,partial viewing,few large,0.025
9,N_Training_Stim\fewlarge_partialViewing_high_bird394.png,mask_img/000000000731.png,bird,occlusion,high,mask,partial viewing,few large,0.025
10,N_Training_Stim\fewlarge_partialViewing_high_building71.png,mask_img/000000000873.png,building,occlusion,high,mask,partial viewing,few large,0.025
11,N_Training_Stim\fewlarge_partialViewing_high_bus929.png,mask_img/000000001053.png,bus,occlusion,high,mask,partial viewing,few large,0.025
12,N_Training_Stim\fewlarge_partialViewing_high_cat511.png,mask_img/000000001647.png,cat,occlusion,high,mask,partial viewing,few large,0.025
13,N_Training_Stim\fewlarge_partialViewing_high_firehydrant90.png,mask_img/000000001810.png,firehydrant,occlusion,high,mask,partial viewing,few large,0.025
14,N_Training_Stim\fewlarge_partialViewing_high_person189.png,mask_img/000000001997.png,person,occlusion,high,mask,partial viewing,few large,0.025
15,N_Training_Stim\fewlarge_partialViewing_high_tree25.png,mask_img/000000002197.png,tree,occlusion,high,mask,partial viewing,few large,0.025
16,N_Training_Stim\fewlarge_partialViewing_low_banana1022.png,mask_img/000000002337.png,banana,occlusion,low,mask,partial viewing,few large,0.025
17,N_Training_Stim\fewlarge_partialViewing_low_bird1073.png,mask_img/000000002774.png,bird,occlusion,low,mask,partial viewing,few large,0.025
18,N_Training_Stim\fewlarge_partialViewing_low_building71.png,mask_img/000000002822.png,building,occlusion,low,mask,partial viewing,few large,0.025
19,N_Training_Stim\fewlarge_partialViewing_low_bus630.png,mask_img/000000002892.png,bus,occlusion,low,mask,partial viewing,few large,0.025
20,N_Training_Stim\fewlarge_partialViewing_low_cat593.png,mask_img/000000003084.png,cat,occlusion,low,mask,partial viewing,few large,0.025
21,N_Training_Stim\fewlarge_partialViewing_low_firehydrant205.png,mask_img/000000003225.png,firehydrant,occlusion,low,mask,partial viewing,few large,0.025
22,N_Training_Stim\fewlarge_partialViewing_low_person587.png,mask_img/000000003483.png,person,occlusion,low,mask,partial viewing,few large,0.025
23,N_Training_Stim\fewlarge_partialViewing_low_tree17.png,mask_img/000000003694.png,tree,occlusion,low,mask,partial viewing,few large,0.025
24,N_Training_Stim\manysmall_partialViewing_control_banana1022.png,mask_img/000000004239.png,banana,occlusion,control,mask,partial viewing,many small,0.025
25,N_Training_Stim\manysmall_partialViewing_control_bird394.png,mask_img/000000004642.png,bird,occlusion,control,mask,partial viewing,many small,0.025
26,N_Training_Stim\manysmall_partialViewing_control_building48.png,mask_img/000000004739.png,building,occlusion,control,mask,partial viewing,many small,0.025
27,N_Training_Stim\manysmall_partialViewing_control_bus630.png,mask_img/000000004936.png,bus,occlusion,control,mask,partial viewing,many small,0.025
28,N_Training_Stim\manysmall_partialViewing_control_cat511.png,mask_img/000000005105.png,cat,occlusion,control,mask,partial viewing,many small,0.025
29,N_Training_Stim\manysmall_partialViewing_control_firehydrant154.png,mask_img/000000005131.png,firehydrant,occlusion,control,mask,partial viewing,many small,0.025
30,N_Training_Stim\manysmall_partialViewing_control_person189.png,mask_img/000000005142.png,person,occlusion,control,mask,partial viewing,many small,0.025
31,N_Training_Stim\manysmall_partialViewing_control_tree25.png,mask_img/000000005282.png,tree,occlusion,control,mask,partial viewing,many small,0.025
32,N_Training_Stim\manysmall_partialViewing_high_banana589.png,mask_img/000000005359.png,banana,occlusion,high,mask,partial viewing,many small,0.025
33,N_Training_Stim\manysmall_partialViewing_high_bird1073.png,mask_img/000000005418.png,bird,occlusion,high,mask,partial viewing,many small,0.025
34,N_Training_Stim\manysmall_partialViewing_high_building48.png,mask_img/000000005574.png,building,occlusion,high,mask,partial viewing,many small,0.025
35,N_Training_Stim\manysmall_partialViewing_high_bus630.png,mask_img/000000005615.png,bus,occlusion,high,mask,partial viewing,many small,0.025
36,N_Training_Stim\manysmall_partialViewing_high_cat511.png,mask_img/000000005862.png,cat,occlusion,high,mask,partial viewing,many small,0.025
37,N_Training_Stim\manysmall_partialViewing_high_firehydrant90.png,mask_img/000000006146.png,firehydrant,occlusion,high,mask,partial viewing,many small,0.025
38,N_Training_Stim\manysmall_partialViewing_high_person475.png,mask_img/000000006153.png,person,occlusion,high,mask,partial viewing,many small,0.025
39,N_Training_Stim\manysmall_partialViewing_high_tree25.png,mask_img/000000006263.png,tree,occlusion,high,mask,partial viewing,many small,0.025
40,N_Training_Stim\manysmall_partialViewing_low_banana589.png,mask_img/000000006437.png,banana,occlusion,low,mask,partial viewing,many small,0.025
41,N_Training_Stim\manysmall_partialViewing_low_bird394.png,mask_img/000000006481.png,bird,occlusion,low,mask,partial viewing,many small,0.025
42,N_Training_Stim\manysmall_partialViewing_low_building24.png,mask_img/000000006489.png,building,occlusion,low,mask,partial viewing,many small,0.025
43,N_Training_Stim\manysmall_partialViewing_low_bus630.png,mask_img/000000006709.png,bus,occlusion,low,mask,partial viewing,many small,0.025
44,N_Training_Stim\manysmall_partialViewing_low_cat593.png,mask_img/000000006842.png,cat,occlusion,low,mask,partial viewing,many small,0.025
45,N_Training_Stim\manysmall_partialViewing_low_firehydrant205.png,mask_img/000000006870.png,firehydrant,occlusion,low,mask,partial viewing,many small,0.025
