,filename,mask_filename,category,manipulation,difficulty,mask,type_occl,size_occl
627,MSK Task/Stimulus/all_stim/occlusion/many_small/deletion/low/manysmalldeletionlowbuilding4.png,mask_img/000000002239.png,building,occlusion,low,mask,deletion,many small
628,MSK Task/Stimulus/all_stim/occlusion/many_small/deletion/low/manysmalldeletionlowbuilding5.png,mask_img/000000320020.png,building,occlusion,low,mask,deletion,many small
629,MSK Task/Stimulus/all_stim/occlusion/many_small/deletion/low/manysmalldeletionlowtree10.png,mask_img/000000310685.png,tree,occlusion,low,mask,deletion,many small
630,MSK Task/Stimulus/all_stim/occlusion/many_small/deletion/low/manysmalldeletionlowperson2.png,mask_img/000000214391.png,person,occlusion,low,mask,deletion,many small
631,MSK Task/Stimulus/all_stim/occlusion/many_small/deletion/low/manysmalldeletionlowperson6.png,mask_img/000000104884.png,person,occlusion,low,mask,deletion,many small
632,MSK Task/Stimulus/all_stim/occlusion/many_small/deletion/low/manysmalldeletionlowbuilding1.png,mask_img/000000058123.png,building,occlusion,low,mask,deletion,many small
633,MSK Task/Stimulus/all_stim/occlusion/many_small/deletion/low/manysmalldeletionlowperson7.png,mask_img/000000367425.png,person,occlusion,low,mask,deletion,many small
634,MSK Task/Stimulus/all_stim/occlusion/many_small/deletion/low/manysmalldeletionlowcat8.png,mask_img/000000555814.png,cat,occlusion,low,mask,deletion,many small
635,MSK Task/Stimulus/all_stim/occlusion/many_small/deletion/low/manysmalldeletionlowperson5.png,mask_img/000000275035.png,person,occlusion,low,mask,deletion,many small
636,MSK Task/Stimulus/all_stim/occlusion/many_small/deletion/low/manysmalldeletionlowbuilding2.png,mask_img/000000367869 2.png,building,occlusion,low,mask,deletion,many small
637,MSK Task/Stimulus/all_stim/occlusion/many_small/deletion/low/manysmalldeletionlowbuilding3.png,mask_img/000000550978.png,building,occlusion,low,mask,deletion,many small
638,MSK Task/Stimulus/all_stim/occlusion/many_small/deletion/low/manysmalldeletionlowperson4.png,mask_img/000000494090.png,person,occlusion,low,mask,deletion,many small
639,MSK Task/Stimulus/all_stim/occlusion/many_small/deletion/low/manysmalldeletionlowcat9.png,mask_img/000000469135.png,cat,occlusion,low,mask,deletion,many small
640,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_bird8.png,mask_img/000000497572.png,bird,occlusion,high,mask,partial viewing,many small
641,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_cat9.png,mask_img/000000301039.png,cat,occlusion,high,mask,partial viewing,many small
642,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_person5.png,mask_img/000000340703.png,person,occlusion,high,mask,partial viewing,many small
643,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_person4.png,mask_img/000000383748.png,person,occlusion,high,mask,partial viewing,many small
644,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_cat8.png,mask_img/000000410409.png,cat,occlusion,high,mask,partial viewing,many small
645,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_bird9.png,mask_img/000000487013.png,bird,occlusion,high,mask,partial viewing,many small
646,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_person6.png,mask_img/000000210134.png,person,occlusion,high,mask,partial viewing,many small
647,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_person7.png,mask_img/000000414109.png,person,occlusion,high,mask,partial viewing,many small
648,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_person3.png,mask_img/000000227940.png,person,occlusion,high,mask,partial viewing,many small
649,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_bus10.png,mask_img/000000161013.png,bus,occlusion,high,mask,partial viewing,many small
650,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_person2.png,mask_img/000000394546.png,person,occlusion,high,mask,partial viewing,many small
651,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_tree10.png,mask_img/000000493728.png,tree,occlusion,high,mask,partial viewing,many small
652,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_firehydrant8.png,mask_img/000000203160.png,firehydrant,occlusion,high,mask,partial viewing,many small
653,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_tree8.png,mask_img/000000211570.png,tree,occlusion,high,mask,partial viewing,many small
654,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_person1.png,mask_img/000000215070.png,person,occlusion,high,mask,partial viewing,many small
655,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_tree9.png,mask_img/000000086878.png,tree,occlusion,high,mask,partial viewing,many small
656,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_firehydrant9.png,mask_img/000000216579.png,firehydrant,occlusion,high,mask,partial viewing,many small
657,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_building8.png,mask_img/000000012953.png,building,occlusion,high,mask,partial viewing,many small
658,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_bus9.png,mask_img/000000322560 2.png,bus,occlusion,high,mask,partial viewing,many small
659,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_banana5.png,mask_img/000000081691.png,banana,occlusion,high,mask,partial viewing,many small
660,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_banana4.png,mask_img/000000138604.png,banana,occlusion,high,mask,partial viewing,many small
661,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_bus8.png,mask_img/000000458475.png,bus,occlusion,high,mask,partial viewing,many small
662,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_building9.png,mask_img/000000563391.png,building,occlusion,high,mask,partial viewing,many small
663,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_banana6.png,mask_img/000000476950.png,banana,occlusion,high,mask,partial viewing,many small
664,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_banana7.png,mask_img/000000515213.png,banana,occlusion,high,mask,partial viewing,many small
665,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_banana3.png,mask_img/000000101091.png,banana,occlusion,high,mask,partial viewing,many small
666,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_banana2.png,mask_img/000000334938.png,banana,occlusion,high,mask,partial viewing,many small
667,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_cat10.png,mask_img/000000242104.png,cat,occlusion,high,mask,partial viewing,many small
668,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_banana1.png,mask_img/000000426815.png,banana,occlusion,high,mask,partial viewing,many small
669,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_building1.png,mask_img/000000212733.png,building,occlusion,high,mask,partial viewing,many small
670,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_building10.png,mask_img/000000033751.png,building,occlusion,high,mask,partial viewing,many small
671,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_bus1.png,mask_img/000000581466.png,bus,occlusion,high,mask,partial viewing,many small
672,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_building2.png,mask_img/000000164153.png,building,occlusion,high,mask,partial viewing,many small
673,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_firehydrant10.png,mask_img/000000345353 2.png,firehydrant,occlusion,high,mask,partial viewing,many small
674,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_bus3.png,mask_img/000000350825 2.png,bus,occlusion,high,mask,partial viewing,many small
675,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_bus2.png,mask_img/000000454273.png,bus,occlusion,high,mask,partial viewing,many small
676,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_building3.png,mask_img/000000358174.png,building,occlusion,high,mask,partial viewing,many small
677,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_building7.png,mask_img/000000233919.png,building,occlusion,high,mask,partial viewing,many small
678,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_bus6.png,mask_img/000000258160.png,bus,occlusion,high,mask,partial viewing,many small
679,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_bus7.png,mask_img/000000145189.png,bus,occlusion,high,mask,partial viewing,many small
680,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_building6.png,mask_img/000000536390.png,building,occlusion,high,mask,partial viewing,many small
681,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_building4.png,mask_img/000000576987.png,building,occlusion,high,mask,partial viewing,many small
682,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_bus5.png,mask_img/000000141304.png,bus,occlusion,high,mask,partial viewing,many small
683,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_banana9.png,mask_img/000000370175.png,banana,occlusion,high,mask,partial viewing,many small
684,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_banana8.png,mask_img/000000262565.png,banana,occlusion,high,mask,partial viewing,many small
685,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_bus4.png,mask_img/000000466558.png,bus,occlusion,high,mask,partial viewing,many small
686,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_building5.png,mask_img/000000285498.png,building,occlusion,high,mask,partial viewing,many small
687,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_bird1.png,mask_img/000000069488.png,bird,occlusion,high,mask,partial viewing,many small
688,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_firehydrant4.png,mask_img/000000465045.png,firehydrant,occlusion,high,mask,partial viewing,many small
689,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_tree4.png,mask_img/000000008062.png,tree,occlusion,high,mask,partial viewing,many small
690,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_cat1.png,mask_img/000000427538.png,cat,occlusion,high,mask,partial viewing,many small
691,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_tree5.png,mask_img/000000206975.png,tree,occlusion,high,mask,partial viewing,many small
692,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_firehydrant5.png,mask_img/000000353948.png,firehydrant,occlusion,high,mask,partial viewing,many small
693,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_person10.png,mask_img/000000049770.png,person,occlusion,high,mask,partial viewing,many small
694,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_bird2.png,mask_img/000000228336.png,bird,occlusion,high,mask,partial viewing,many small
695,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_bird10.png,mask_img/000000324419 2.png,bird,occlusion,high,mask,partial viewing,many small
696,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_firehydrant7.png,mask_img/000000064190.png,firehydrant,occlusion,high,mask,partial viewing,many small
697,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_tree7.png,mask_img/000000105208.png,tree,occlusion,high,mask,partial viewing,many small
698,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_cat3.png,mask_img/000000504487.png,cat,occlusion,high,mask,partial viewing,many small
699,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_cat2.png,mask_img/000000552819.png,cat,occlusion,high,mask,partial viewing,many small
700,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_tree6.png,mask_img/000000212914.png,tree,occlusion,high,mask,partial viewing,many small
701,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_firehydrant6.png,mask_img/000000459569.png,firehydrant,occlusion,high,mask,partial viewing,many small
702,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_bird3.png,mask_img/000000290532.png,bird,occlusion,high,mask,partial viewing,many small
703,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_bird7.png,mask_img/000000176769.png,bird,occlusion,high,mask,partial viewing,many small
704,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_firehydrant2.png,mask_img/000000566941.png,firehydrant,occlusion,high,mask,partial viewing,many small
705,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_tree2.png,mask_img/000000068231.png,tree,occlusion,high,mask,partial viewing,many small
706,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_cat6.png,mask_img/000000181493.png,cat,occlusion,high,mask,partial viewing,many small
707,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_cat7.png,mask_img/000000354570.png,cat,occlusion,high,mask,partial viewing,many small
708,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_tree3.png,mask_img/000000420900.png,tree,occlusion,high,mask,partial viewing,many small
709,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_firehydrant3.png,mask_img/000000503883.png,firehydrant,occlusion,high,mask,partial viewing,many small
710,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_bird6.png,mask_img/000000161229.png,bird,occlusion,high,mask,partial viewing,many small
711,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_banana10.png,mask_img/000000440762.png,banana,occlusion,high,mask,partial viewing,many small
712,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_bird4.png,mask_img/000000399258.png,bird,occlusion,high,mask,partial viewing,many small
713,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_firehydrant1.png,mask_img/000000335851 2.png,firehydrant,occlusion,high,mask,partial viewing,many small
714,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_tree1.png,mask_img/000000410141.png,tree,occlusion,high,mask,partial viewing,many small
715,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_person9.png,mask_img/000000121619.png,person,occlusion,high,mask,partial viewing,many small
716,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_cat5.png,mask_img/000000484734.png,cat,occlusion,high,mask,partial viewing,many small
717,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_cat4.png,mask_img/000000048863.png,cat,occlusion,high,mask,partial viewing,many small
718,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_person8.png,mask_img/000000571554.png,person,occlusion,high,mask,partial viewing,many small
719,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/high/manysmallpartialViewinghighmatched_bird5.png,mask_img/000000204384.png,bird,occlusion,high,mask,partial viewing,many small
720,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_firehydrant3.png,mask_img/000000280084.png,firehydrant,occlusion,low,mask,partial viewing,many small
721,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_bus5.png,mask_img/000000530508.png,bus,occlusion,low,mask,partial viewing,many small
722,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_banana6.png,mask_img/000000322357.png,banana,occlusion,low,mask,partial viewing,many small
723,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_building3.png,mask_img/000000453087.png,building,occlusion,low,mask,partial viewing,many small
724,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_building2.png,mask_img/000000155167.png,building,occlusion,low,mask,partial viewing,many small
725,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_banana7.png,mask_img/000000488697.png,banana,occlusion,low,mask,partial viewing,many small
726,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_bus4.png,mask_img/000000080982.png,bus,occlusion,low,mask,partial viewing,many small
727,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_firehydrant2.png,mask_img/000000139917.png,firehydrant,occlusion,low,mask,partial viewing,many small
728,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_tree10.png,mask_img/000000359097.png,tree,occlusion,low,mask,partial viewing,many small
729,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_bus6.png,mask_img/000000211945.png,bus,occlusion,low,mask,partial viewing,many small
730,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_bird9.png,mask_img/000000276706.png,bird,occlusion,low,mask,partial viewing,many small
731,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_banana5.png,mask_img/000000572061.png,banana,occlusion,low,mask,partial viewing,many small
732,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_building1.png,mask_img/000000065098.png,building,occlusion,low,mask,partial viewing,many small
733,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_banana4.png,mask_img/000000106517.png,banana,occlusion,low,mask,partial viewing,many small
734,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_bus7.png,mask_img/000000220568.png,bus,occlusion,low,mask,partial viewing,many small
735,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_bird8.png,mask_img/000000248818.png,bird,occlusion,low,mask,partial viewing,many small
736,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_firehydrant1.png,mask_img/000000011719.png,firehydrant,occlusion,low,mask,partial viewing,many small
737,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_tree9.png,mask_img/000000152146.png,tree,occlusion,low,mask,partial viewing,many small
738,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_firehydrant5.png,mask_img/000000433029.png,firehydrant,occlusion,low,mask,partial viewing,many small
739,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_bus3.png,mask_img/000000094061.png,bus,occlusion,low,mask,partial viewing,many small
740,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_building5.png,mask_img/000000570110.png,building,occlusion,low,mask,partial viewing,many small
741,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_building4.png,mask_img/000000581857.png,building,occlusion,low,mask,partial viewing,many small
742,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_banana1.png,mask_img/000000263323.png,banana,occlusion,low,mask,partial viewing,many small
743,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_bus2.png,mask_img/000000245496.png,bus,occlusion,low,mask,partial viewing,many small
744,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_firehydrant4.png,mask_img/000000484091.png,firehydrant,occlusion,low,mask,partial viewing,many small
745,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_tree8.png,mask_img/000000009142.png,tree,occlusion,low,mask,partial viewing,many small
746,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_firehydrant6.png,mask_img/000000400568.png,firehydrant,occlusion,low,mask,partial viewing,many small
747,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_banana3.png,mask_img/000000406119.png,banana,occlusion,low,mask,partial viewing,many small
748,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_building6.png,mask_img/000000178156.png,building,occlusion,low,mask,partial viewing,many small
749,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_building7.png,mask_img/000000392523.png,building,occlusion,low,mask,partial viewing,many small
750,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_bus10.png,mask_img/000000077517.png,bus,occlusion,low,mask,partial viewing,many small
751,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_banana2.png,mask_img/000000021751.png,banana,occlusion,low,mask,partial viewing,many small
752,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_bus1.png,mask_img/000000322586.png,bus,occlusion,low,mask,partial viewing,many small
753,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_firehydrant7.png,mask_img/000000017585.png,firehydrant,occlusion,low,mask,partial viewing,many small
754,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_building10.png,mask_img/000000389103.png,building,occlusion,low,mask,partial viewing,many small
755,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_cat5.png,mask_img/000000558717.png,cat,occlusion,low,mask,partial viewing,many small
756,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_person6.png,mask_img/000000383348.png,person,occlusion,low,mask,partial viewing,many small
757,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_person7.png,mask_img/000000296989.png,person,occlusion,low,mask,partial viewing,many small
758,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_cat4.png,mask_img/000000130884.png,cat,occlusion,low,mask,partial viewing,many small
759,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_cat6.png,mask_img/000000326092.png,cat,occlusion,low,mask,partial viewing,many small
760,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_person5.png,mask_img/000000373905.png,person,occlusion,low,mask,partial viewing,many small
761,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_person4.png,mask_img/000000325115 2.png,person,occlusion,low,mask,partial viewing,many small
762,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_cat7.png,mask_img/000000290452.png,cat,occlusion,low,mask,partial viewing,many small
763,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_cat3.png,mask_img/000000502419.png,cat,occlusion,low,mask,partial viewing,many small
764,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_person1.png,mask_img/000000322897 2.png,person,occlusion,low,mask,partial viewing,many small
765,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_cat2.png,mask_img/000000170250.png,cat,occlusion,low,mask,partial viewing,many small
766,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_cat10.png,mask_img/000000064557.png,cat,occlusion,low,mask,partial viewing,many small
767,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_person3.png,mask_img/000000105817.png,person,occlusion,low,mask,partial viewing,many small
768,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_person2.png,mask_img/000000248005.png,person,occlusion,low,mask,partial viewing,many small
769,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_cat1.png,mask_img/000000042584.png,cat,occlusion,low,mask,partial viewing,many small
770,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_banana10.png,mask_img/000000383406.png,banana,occlusion,low,mask,partial viewing,many small
771,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_person9.png,mask_img/000000022270.png,person,occlusion,low,mask,partial viewing,many small
772,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_person8.png,mask_img/000000281563.png,person,occlusion,low,mask,partial viewing,many small
773,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_cat9.png,mask_img/000000444302.png,cat,occlusion,low,mask,partial viewing,many small
774,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_person10.png,mask_img/000000251232.png,person,occlusion,low,mask,partial viewing,many small
775,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_cat8.png,mask_img/000000079512.png,cat,occlusion,low,mask,partial viewing,many small
776,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_tree6.png,mask_img/000000300082.png,tree,occlusion,low,mask,partial viewing,many small
777,MSK Task/Stimulus/all_stim/occlusion/many_small/partial_viewing/low/manysmallpartialViewinglowmatched_bird3.png,mask_img/000000107741.png,bird,occlusion,low,mask,partial viewing,many small
