,filename,mask_filename,category,manipulation,difficulty,mask,type_occl,size_occl,soa
72,Training\Training Stimulus\control_banana3666.png,./mask_img/grey_square.png,banana,control,control,no mask,null,null,0.05
73,Training\Training Stimulus\control_bird259.png,./mask_img/grey_square.png,bird,control,control,no mask,null,null,0.05
74,Training\Training Stimulus\control_building95.png,./mask_img/grey_square.png,building,control,control,no mask,null,null,0.05
75,Training\Training Stimulus\control_bus180.png,./mask_img/grey_square.png,bus,control,control,no mask,null,null,0.05
76,Training\Training Stimulus\control_cat147.png,./mask_img/grey_square.png,cat,control,control,no mask,null,null,0.05
77,Training\Training Stimulus\control_firehydrant46.png,./mask_img/grey_square.png,firehydrant,control,control,no mask,null,null,0.05
78,Training\Training Stimulus\control_person1905.png,./mask_img/grey_square.png,person,control,control,no mask,null,null,0.05
79,Training\Training Stimulus\control_tree2.png,./mask_img/grey_square.png,tree,control,control,no mask,null,null,0.05
80,Training\Training Stimulus\deletionhighmatched_banana1970.png,./mask_img/grey_square.png,banana,occlusion,high,no mask,deletion,null,0.05
81,Training\Training Stimulus\deletionhighmatched_bird1657.png,./mask_img/grey_square.png,bird,occlusion,high,no mask,deletion,null,0.05
82,Training\Training Stimulus\deletionhighmatched_building66.png,./mask_img/grey_square.png,building,occlusion,high,no mask,deletion,null,0.05
83,Training\Training Stimulus\deletionhighmatched_bus696.png,./mask_img/grey_square.png,bus,occlusion,high,no mask,deletion,null,0.05
84,Training\Training Stimulus\deletionhighmatched_cat313.png,./mask_img/grey_square.png,cat,occlusion,high,no mask,deletion,null,0.05
85,Training\Training Stimulus\deletionhighmatched_firehydrant226.png,./mask_img/grey_square.png,firehydrant,occlusion,high,no mask,deletion,null,0.05
86,Training\Training Stimulus\deletionhighmatched_person71.png,./mask_img/grey_square.png,person,occlusion,high,no mask,deletion,null,0.05
87,Training\Training Stimulus\deletionhighmatched_tree71.png,./mask_img/grey_square.png,tree,occlusion,high,no mask,deletion,null,0.05
88,Training\Training Stimulus\deletionlowmatched_banana4227.png,./mask_img/grey_square.png,banana,occlusion,low,no mask,deletion,null,0.05
89,Training\Training Stimulus\deletionlowmatched_bird289.png,./mask_img/grey_square.png,bird,occlusion,low,no mask,deletion,null,0.05
90,Training\Training Stimulus\deletionlowmatched_building91.png,./mask_img/grey_square.png,building,occlusion,low,no mask,deletion,null,0.05
91,Training\Training Stimulus\deletionlowmatched_bus1255.png,./mask_img/grey_square.png,bus,occlusion,low,no mask,deletion,null,0.05
92,Training\Training Stimulus\deletionlowmatched_cat356.png,./mask_img/grey_square.png,cat,occlusion,low,no mask,deletion,null,0.05
93,Training\Training Stimulus\deletionlowmatched_firehydrant552.png,./mask_img/grey_square.png,firehydrant,occlusion,low,no mask,deletion,null,0.05
94,Training\Training Stimulus\deletionlowmatched_person1622.png,./mask_img/grey_square.png,person,occlusion,low,no mask,deletion,null,0.05
95,Training\Training Stimulus\deletionlowmatched_tree37.png,./mask_img/grey_square.png,tree,occlusion,low,no mask,deletion,null,0.05
96,Training\Training Stimulus\partialViewinghighmatched_banana726.png,./mask_img/grey_square.png,banana,occlusion,high,no mask,partial viewing,null,0.05
97,Training\Training Stimulus\partialViewinghighmatched_bird2883.png,./mask_img/grey_square.png,bird,occlusion,high,no mask,partial viewing,null,0.05
98,Training\Training Stimulus\partialViewinghighmatched_building21.png,./mask_img/grey_square.png,building,occlusion,high,no mask,partial viewing,null,0.05
99,Training\Training Stimulus\partialViewinghighmatched_bus765.png,./mask_img/grey_square.png,bus,occlusion,high,no mask,partial viewing,null,0.05
100,Training\Training Stimulus\partialViewinghighmatched_cat864.png,./mask_img/grey_square.png,cat,occlusion,high,no mask,partial viewing,null,0.05
101,Training\Training Stimulus\partialViewinghighmatched_firehydrant72.png,./mask_img/grey_square.png,firehydrant,occlusion,high,no mask,partial viewing,null,0.05
102,Training\Training Stimulus\partialViewinghighmatched_person157.png,./mask_img/grey_square.png,person,occlusion,high,no mask,partial viewing,null,0.05
103,Training\Training Stimulus\partialViewinghighmatched_tree56.png,./mask_img/grey_square.png,tree,occlusion,high,no mask,partial viewing,null,0.05
104,Training\Training Stimulus\partialViewinglowmatched_banana3584.png,./mask_img/grey_square.png,banana,occlusion,low,no mask,partial viewing,null,0.05
105,Training\Training Stimulus\partialViewinglowmatched_bird2598.png,./mask_img/grey_square.png,bird,occlusion,low,no mask,partial viewing,null,0.05
106,Training\Training Stimulus\partialViewinglowmatched_building11.png,./mask_img/grey_square.png,building,occlusion,low,no mask,partial viewing,null,0.05
107,Training\Training Stimulus\partialViewinglowmatched_bus127.png,./mask_img/grey_square.png,bus,occlusion,low,no mask,partial viewing,null,0.05
108,Training\Training Stimulus\partialViewinglowmatched_cat341.png,./mask_img/grey_square.png,cat,occlusion,low,no mask,partial viewing,null,0.05
109,Training\Training Stimulus\partialViewinglowmatched_firehydrant149.png,./mask_img/grey_square.png,firehydrant,occlusion,low,no mask,partial viewing,null,0.05
110,Training\Training Stimulus\partialViewinglowmatched_person3250.png,./mask_img/grey_square.png,person,occlusion,low,no mask,partial viewing,null,0.05
111,Training\Training Stimulus\partialViewinglowmatched_tree30.png,./mask_img/grey_square.png,tree,occlusion,low,no mask,partial viewing,null,0.05
112,Training\Training Stimulus\blobhighmatched_banana2093.png,mask_img/000000000009.png,banana,occlusion,high,mask,blob,null,0.1
113,Training\Training Stimulus\blobhighmatched_bird2861.png,mask_img/000000000294.png,bird,occlusion,high,mask,blob,null,0.1
114,Training\Training Stimulus\blobhighmatched_building13.png,mask_img/000000000510.png,building,occlusion,high,mask,blob,null,0.1
115,Training\Training Stimulus\blobhighmatched_bus480.png,mask_img/000000000562.png,bus,occlusion,high,mask,blob,null,0.1
116,Training\Training Stimulus\blobhighmatched_cat172.png,mask_img/000000000671.png,cat,occlusion,high,mask,blob,null,0.1
117,Training\Training Stimulus\blobhighmatched_firehydrant125.png,mask_img/000000000675.png,firehydrant,occlusion,high,mask,blob,null,0.1
118,Training\Training Stimulus\blobhighmatched_person2850.png,mask_img/000000000711.png,person,occlusion,high,mask,blob,null,0.1
119,Training\Training Stimulus\blobhighmatched_tree88.png,mask_img/000000001025.png,tree,occlusion,high,mask,blob,null,0.1
120,Training\Training Stimulus\bloblowmatched_banana3652.png,mask_img/000000001216.png,banana,occlusion,low,mask,blob,null,0.1
121,Training\Training Stimulus\bloblowmatched_bird289.png,mask_img/000000001282.png,bird,occlusion,low,mask,blob,null,0.1
122,Training\Training Stimulus\bloblowmatched_building64.png,mask_img/000000001563.png,building,occlusion,low,mask,blob,null,0.1
123,Training\Training Stimulus\bloblowmatched_bus938.png,mask_img/000000001573.png,bus,occlusion,low,mask,blob,null,0.1
124,Training\Training Stimulus\bloblowmatched_cat1021.png,mask_img/000000001599.png,cat,occlusion,low,mask,blob,null,0.1
125,Training\Training Stimulus\bloblowmatched_firehydrant570.png,mask_img/000000001810.png,firehydrant,occlusion,low,mask,blob,null,0.1
126,Training\Training Stimulus\bloblowmatched_person411.png,mask_img/000000001852.png,person,occlusion,low,mask,blob,null,0.1
127,Training\Training Stimulus\bloblowmatched_tree50.png,mask_img/000000001912.png,tree,occlusion,low,mask,blob,null,0.1
128,Training\Training Stimulus\control_banana3666.png,mask_img/000000001966.png,banana,control,control,mask,null,null,0.1
129,Training\Training Stimulus\control_bird259.png,mask_img/000000002068.png,bird,control,control,mask,null,null,0.1
130,Training\Training Stimulus\control_building95.png,mask_img/000000002239.png,building,control,control,mask,null,null,0.1
131,Training\Training Stimulus\control_bus180.png,mask_img/000000002562.png,bus,control,control,mask,null,null,0.1
132,Training\Training Stimulus\control_cat147.png,mask_img/000000002591.png,cat,control,control,mask,null,null,0.1
133,Training\Training Stimulus\control_firehydrant46.png,mask_img/000000002902.png,firehydrant,control,control,mask,null,null,0.1
134,Training\Training Stimulus\control_person1905.png,mask_img/000000003000.png,person,control,control,mask,null,null,0.1
135,Training\Training Stimulus\control_tree2.png,mask_img/000000003160.png,tree,control,control,mask,null,null,0.1
136,Training\Training Stimulus\deletionhighmatched_banana1970.png,mask_img/000000003236.png,banana,occlusion,high,mask,deletion,null,0.1
137,Training\Training Stimulus\deletionhighmatched_bird1657.png,mask_img/000000003320.png,bird,occlusion,high,mask,deletion,null,0.1
138,Training\Training Stimulus\deletionhighmatched_building66.png,mask_img/000000003729.png,building,occlusion,high,mask,deletion,null,0.1
139,Training\Training Stimulus\deletionhighmatched_bus696.png,mask_img/000000003779.png,bus,occlusion,high,mask,deletion,null,0.1
140,Training\Training Stimulus\deletionhighmatched_cat313.png,mask_img/000000003804.png,cat,occlusion,high,mask,deletion,null,0.1
141,Training\Training Stimulus\deletionhighmatched_firehydrant226.png,mask_img/000000003865.png,firehydrant,occlusion,high,mask,deletion,null,0.1
142,Training\Training Stimulus\deletionhighmatched_person71.png,mask_img/000000004444.png,person,occlusion,high,mask,deletion,null,0.1
143,Training\Training Stimulus\deletionhighmatched_tree71.png,mask_img/000000004497.png,tree,occlusion,high,mask,deletion,null,0.1
144,Training\Training Stimulus\deletionlowmatched_banana4227.png,mask_img/000000004706.png,banana,occlusion,low,mask,deletion,null,0.1
145,Training\Training Stimulus\deletionlowmatched_bird289.png,mask_img/000000004785.png,bird,occlusion,low,mask,deletion,null,0.1
146,Training\Training Stimulus\deletionlowmatched_building91.png,mask_img/000000004827.png,building,occlusion,low,mask,deletion,null,0.1
147,Training\Training Stimulus\deletionlowmatched_bus1255.png,mask_img/000000004920.png,bus,occlusion,low,mask,deletion,null,0.1
148,Training\Training Stimulus\deletionlowmatched_cat356.png,mask_img/000000004970.png,cat,occlusion,low,mask,deletion,null,0.1
149,Training\Training Stimulus\deletionlowmatched_firehydrant552.png,mask_img/000000005021.png,firehydrant,occlusion,low,mask,deletion,null,0.1
150,Training\Training Stimulus\deletionlowmatched_person1622.png,mask_img/000000005123.png,person,occlusion,low,mask,deletion,null,0.1
151,Training\Training Stimulus\deletionlowmatched_tree37.png,mask_img/000000005245.png,tree,occlusion,low,mask,deletion,null,0.1
152,Training\Training Stimulus\partialViewinghighmatched_banana726.png,mask_img/000000005313.png,banana,occlusion,high,mask,partial viewing,null,0.1
153,Training\Training Stimulus\partialViewinghighmatched_bird2883.png,mask_img/000000005385.png,bird,occlusion,high,mask,partial viewing,null,0.1
154,Training\Training Stimulus\partialViewinghighmatched_building21.png,mask_img/000000005443.png,building,occlusion,high,mask,partial viewing,null,0.1
155,Training\Training Stimulus\partialViewinghighmatched_bus765.png,mask_img/000000005619.png,bus,occlusion,high,mask,partial viewing,null,0.1
156,Training\Training Stimulus\partialViewinghighmatched_cat864.png,mask_img/000000006042.png,cat,occlusion,high,mask,partial viewing,null,0.1
157,Training\Training Stimulus\partialViewinghighmatched_firehydrant72.png,mask_img/000000006091.png,firehydrant,occlusion,high,mask,partial viewing,null,0.1
158,Training\Training Stimulus\partialViewinghighmatched_person157.png,mask_img/000000006190.png,person,occlusion,high,mask,partial viewing,null,0.1
159,Training\Training Stimulus\partialViewinghighmatched_tree56.png,mask_img/000000006334.png,tree,occlusion,high,mask,partial viewing,null,0.1
160,Training\Training Stimulus\partialViewinglowmatched_banana3584.png,mask_img/000000006393.png,banana,occlusion,low,mask,partial viewing,null,0.1
161,Training\Training Stimulus\partialViewinglowmatched_bird2598.png,mask_img/000000006489.png,bird,occlusion,low,mask,partial viewing,null,0.1
162,Training\Training Stimulus\partialViewinglowmatched_building11.png,mask_img/000000006491.png,building,occlusion,low,mask,partial viewing,null,0.1
163,Training\Training Stimulus\partialViewinglowmatched_bus127.png,mask_img/000000006590.png,bus,occlusion,low,mask,partial viewing,null,0.1
164,Training\Training Stimulus\partialViewinglowmatched_cat341.png,mask_img/000000006662.png,cat,occlusion,low,mask,partial viewing,null,0.1
165,Training\Training Stimulus\partialViewinglowmatched_firehydrant149.png,mask_img/000000006744.png,firehydrant,occlusion,low,mask,partial viewing,null,0.1
166,Training\Training Stimulus\partialViewinglowmatched_person3250.png,mask_img/000000006842.png,person,occlusion,low,mask,partial viewing,null,0.1
167,Training\Training Stimulus\partialViewinglowmatched_tree30.png,mask_img/000000006870.png,tree,occlusion,low,mask,partial viewing,null,0.1
168,Training\Training Stimulus\blobhighmatched_banana2093.png,./mask_img/grey_square.png,banana,occlusion,high,no mask,blob,null,0.1
169,Training\Training Stimulus\blobhighmatched_bird2861.png,./mask_img/grey_square.png,bird,occlusion,high,no mask,blob,null,0.1
170,Training\Training Stimulus\blobhighmatched_building13.png,./mask_img/grey_square.png,building,occlusion,high,no mask,blob,null,0.1
171,Training\Training Stimulus\blobhighmatched_bus480.png,./mask_img/grey_square.png,bus,occlusion,high,no mask,blob,null,0.1
172,Training\Training Stimulus\blobhighmatched_cat172.png,./mask_img/grey_square.png,cat,occlusion,high,no mask,blob,null,0.1
173,Training\Training Stimulus\blobhighmatched_firehydrant125.png,./mask_img/grey_square.png,firehydrant,occlusion,high,no mask,blob,null,0.1
174,Training\Training Stimulus\blobhighmatched_person2850.png,./mask_img/grey_square.png,person,occlusion,high,no mask,blob,null,0.1
175,Training\Training Stimulus\blobhighmatched_tree88.png,./mask_img/grey_square.png,tree,occlusion,high,no mask,blob,null,0.1
176,Training\Training Stimulus\bloblowmatched_banana3652.png,./mask_img/grey_square.png,banana,occlusion,low,no mask,blob,null,0.1
177,Training\Training Stimulus\bloblowmatched_bird289.png,./mask_img/grey_square.png,bird,occlusion,low,no mask,blob,null,0.1
178,Training\Training Stimulus\bloblowmatched_building64.png,./mask_img/grey_square.png,building,occlusion,low,no mask,blob,null,0.1
179,Training\Training Stimulus\bloblowmatched_bus938.png,./mask_img/grey_square.png,bus,occlusion,low,no mask,blob,null,0.1
180,Training\Training Stimulus\bloblowmatched_cat1021.png,./mask_img/grey_square.png,cat,occlusion,low,no mask,blob,null,0.1
181,Training\Training Stimulus\bloblowmatched_firehydrant570.png,./mask_img/grey_square.png,firehydrant,occlusion,low,no mask,blob,null,0.1
182,Training\Training Stimulus\bloblowmatched_person411.png,./mask_img/grey_square.png,person,occlusion,low,no mask,blob,null,0.1
183,Training\Training Stimulus\bloblowmatched_tree50.png,./mask_img/grey_square.png,tree,occlusion,low,no mask,blob,null,0.1
184,Training\Training Stimulus\control_banana3666.png,./mask_img/grey_square.png,banana,control,control,no mask,null,null,0.1
185,Training\Training Stimulus\control_bird259.png,./mask_img/grey_square.png,bird,control,control,no mask,null,null,0.1
186,Training\Training Stimulus\control_building95.png,./mask_img/grey_square.png,building,control,control,no mask,null,null,0.1
187,Training\Training Stimulus\control_bus180.png,./mask_img/grey_square.png,bus,control,control,no mask,null,null,0.1
188,Training\Training Stimulus\control_cat147.png,./mask_img/grey_square.png,cat,control,control,no mask,null,null,0.1
189,Training\Training Stimulus\control_firehydrant46.png,./mask_img/grey_square.png,firehydrant,control,control,no mask,null,null,0.1
190,Training\Training Stimulus\control_person1905.png,./mask_img/grey_square.png,person,control,control,no mask,null,null,0.1
191,Training\Training Stimulus\control_tree2.png,./mask_img/grey_square.png,tree,control,control,no mask,null,null,0.1
192,Training\Training Stimulus\deletionhighmatched_banana1970.png,./mask_img/grey_square.png,banana,occlusion,high,no mask,deletion,null,0.1
193,Training\Training Stimulus\deletionhighmatched_bird1657.png,./mask_img/grey_square.png,bird,occlusion,high,no mask,deletion,null,0.1
194,Training\Training Stimulus\deletionhighmatched_building66.png,./mask_img/grey_square.png,building,occlusion,high,no mask,deletion,null,0.1
195,Training\Training Stimulus\deletionhighmatched_bus696.png,./mask_img/grey_square.png,bus,occlusion,high,no mask,deletion,null,0.1
196,Training\Training Stimulus\deletionhighmatched_cat313.png,./mask_img/grey_square.png,cat,occlusion,high,no mask,deletion,null,0.1
197,Training\Training Stimulus\deletionhighmatched_firehydrant226.png,./mask_img/grey_square.png,firehydrant,occlusion,high,no mask,deletion,null,0.1
198,Training\Training Stimulus\deletionhighmatched_person71.png,./mask_img/grey_square.png,person,occlusion,high,no mask,deletion,null,0.1
199,Training\Training Stimulus\deletionhighmatched_tree71.png,./mask_img/grey_square.png,tree,occlusion,high,no mask,deletion,null,0.1
200,Training\Training Stimulus\deletionlowmatched_banana4227.png,./mask_img/grey_square.png,banana,occlusion,low,no mask,deletion,null,0.1
201,Training\Training Stimulus\deletionlowmatched_bird289.png,./mask_img/grey_square.png,bird,occlusion,low,no mask,deletion,null,0.1
202,Training\Training Stimulus\deletionlowmatched_building91.png,./mask_img/grey_square.png,building,occlusion,low,no mask,deletion,null,0.1
203,Training\Training Stimulus\deletionlowmatched_bus1255.png,./mask_img/grey_square.png,bus,occlusion,low,no mask,deletion,null,0.1
204,Training\Training Stimulus\deletionlowmatched_cat356.png,./mask_img/grey_square.png,cat,occlusion,low,no mask,deletion,null,0.1
205,Training\Training Stimulus\deletionlowmatched_firehydrant552.png,./mask_img/grey_square.png,firehydrant,occlusion,low,no mask,deletion,null,0.1
206,Training\Training Stimulus\deletionlowmatched_person1622.png,./mask_img/grey_square.png,person,occlusion,low,no mask,deletion,null,0.1
207,Training\Training Stimulus\deletionlowmatched_tree37.png,./mask_img/grey_square.png,tree,occlusion,low,no mask,deletion,null,0.1
208,Training\Training Stimulus\partialViewinghighmatched_banana726.png,./mask_img/grey_square.png,banana,occlusion,high,no mask,partial viewing,null,0.1
209,Training\Training Stimulus\partialViewinghighmatched_bird2883.png,./mask_img/grey_square.png,bird,occlusion,high,no mask,partial viewing,null,0.1
210,Training\Training Stimulus\partialViewinghighmatched_building21.png,./mask_img/grey_square.png,building,occlusion,high,no mask,partial viewing,null,0.1
211,Training\Training Stimulus\partialViewinghighmatched_bus765.png,./mask_img/grey_square.png,bus,occlusion,high,no mask,partial viewing,null,0.1
212,Training\Training Stimulus\partialViewinghighmatched_cat864.png,./mask_img/grey_square.png,cat,occlusion,high,no mask,partial viewing,null,0.1
213,Training\Training Stimulus\partialViewinghighmatched_firehydrant72.png,./mask_img/grey_square.png,firehydrant,occlusion,high,no mask,partial viewing,null,0.1
214,Training\Training Stimulus\partialViewinghighmatched_person157.png,./mask_img/grey_square.png,person,occlusion,high,no mask,partial viewing,null,0.1
215,Training\Training Stimulus\partialViewinghighmatched_tree56.png,./mask_img/grey_square.png,tree,occlusion,high,no mask,partial viewing,null,0.1
216,Training\Training Stimulus\partialViewinglowmatched_banana3584.png,./mask_img/grey_square.png,banana,occlusion,low,no mask,partial viewing,null,0.1
217,Training\Training Stimulus\partialViewinglowmatched_bird2598.png,./mask_img/grey_square.png,bird,occlusion,low,no mask,partial viewing,null,0.1
218,Training\Training Stimulus\partialViewinglowmatched_building11.png,./mask_img/grey_square.png,building,occlusion,low,no mask,partial viewing,null,0.1
219,Training\Training Stimulus\partialViewinglowmatched_bus127.png,./mask_img/grey_square.png,bus,occlusion,low,no mask,partial viewing,null,0.1
220,Training\Training Stimulus\partialViewinglowmatched_cat341.png,./mask_img/grey_square.png,cat,occlusion,low,no mask,partial viewing,null,0.1
221,Training\Training Stimulus\partialViewinglowmatched_firehydrant149.png,./mask_img/grey_square.png,firehydrant,occlusion,low,no mask,partial viewing,null,0.1
222,Training\Training Stimulus\partialViewinglowmatched_person3250.png,./mask_img/grey_square.png,person,occlusion,low,no mask,partial viewing,null,0.1
223,Training\Training Stimulus\partialViewinglowmatched_tree30.png,./mask_img/grey_square.png,tree,occlusion,low,no mask,partial viewing,null,0.1
224,Training\Training Stimulus\blobhighmatched_banana2093.png,mask_img/000000000009.png,banana,occlusion,high,mask,blob,null,0.2
225,Training\Training Stimulus\blobhighmatched_bird2861.png,mask_img/000000000294.png,bird,occlusion,high,mask,blob,null,0.2
226,Training\Training Stimulus\blobhighmatched_building13.png,mask_img/000000000510.png,building,occlusion,high,mask,blob,null,0.2
